round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/09/1975 15:00,Fortuna Köln,FC St. Pauli,2,1,Müngersdorfer Stadion (1923-1973),
1,08/09/1975 15:00,1. FC Mülheim,VfL Osnabrück,1,3,Ruhrstadion,
1,08/09/1975 15:00,Borussia Dortmund,SC Westfalia Herne,4,0,Westfalenstadion,
1,08/09/1975 15:00,1. SC Göttingen 05,Tennis Borussia Berlin,3,0,Jahnstadion Göttingen,
1,08/09/1975 15:00,DJK Gütersloh,Bayer 04 Leverkusen,3,1,Heidewaldstadion,
1,08/09/1975 15:00,Wuppertaler SV,Wacker 04 Berlin,3,1,Stadion am Zoo,
1,08/09/1975 15:00,SpVgg Erkenschwick,SC Preußen Münster,2,0,Stimbergstadion,
1,08/09/1975 15:00,Alemannia Aachen,Arminia Bielefeld,0,0,Tivoli (alt),
1,08/09/1975 15:00,SG Wattenscheid 09,Schwarz-Weiß Essen,3,0,Lohrheidestadion,
1,08/09/1975 15:00,Spandauer SV 1894,Union Solingen,2,7,Stadion an der Neuendorfer Straße,
2,08/16/1975 15:00,Arminia Bielefeld,Borussia Dortmund,1,1,Bielefelder Alm,
2,08/16/1975 15:00,SC Westfalia Herne,SG Wattenscheid 09,1,2,Schloss Strünkede,
2,08/16/1975 15:00,SC Preußen Münster,Spandauer SV 1894,7,0,Preußenstadion,
2,08/16/1975 15:00,VfL Osnabrück,Alemannia Aachen,1,0,Piepenbrock-Stadion an der Bremer Brücke,
2,08/16/1975 15:00,FC St. Pauli,SpVgg Erkenschwick,2,1,Wilhelm-Koch-Stadion,
2,08/16/1975 15:00,Schwarz-Weiß Essen,DJK Gütersloh,2,0,Grugastadion,
2,08/16/1975 15:00,Bayer 04 Leverkusen,Fortuna Köln,0,0,Kleines Haberland-Stadion,
2,08/16/1975 15:00,Wacker 04 Berlin,1. FC Mülheim,4,3,Wackerplatz,
2,08/16/1975 15:00,Tennis Borussia Berlin,Wuppertaler SV,2,1,Mommsenstadion,
2,08/18/1975 19:30,Union Solingen,1. SC Göttingen 05,1,1,Stadion am Hermann-Löns-Weg,
3,08/20/1975 19:30,Spandauer SV 1894,FC St. Pauli,1,5,Stadion an der Neuendorfer Straße,
3,08/20/1975 19:30,SG Wattenscheid 09,Arminia Bielefeld,1,1,Lohrheidestadion,
3,08/20/1975 19:30,Fortuna Köln,Schwarz-Weiß Essen,3,2,Müngersdorfer Stadion (1923-1973),
3,08/20/1975 19:30,Alemannia Aachen,Wacker 04 Berlin,1,1,Tivoli (alt),
3,08/20/1975 19:30,1. FC Mülheim,Tennis Borussia Berlin,0,2,Ruhrstadion,
3,08/20/1975 19:30,Borussia Dortmund,VfL Osnabrück,2,2,Westfalenstadion,
3,08/20/1975 19:30,Union Solingen,SC Preußen Münster,1,0,Stadion am Hermann-Löns-Weg,
3,08/20/1975 19:30,DJK Gütersloh,SC Westfalia Herne,1,2,Heidewaldstadion,
3,08/20/1975 19:30,1. SC Göttingen 05,Wuppertaler SV,1,3,Jahnstadion Göttingen,
3,08/20/1975 19:30,SpVgg Erkenschwick,Bayer 04 Leverkusen,4,0,Stimbergstadion,
4,08/23/1975 15:00,SC Westfalia Herne,Fortuna Köln,0,2,Schloss Strünkede,
4,08/23/1975 15:00,Wacker 04 Berlin,Borussia Dortmund,2,1,Wackerplatz,
4,08/23/1975 15:00,Bayer 04 Leverkusen,Spandauer SV 1894,2,1,Kleines Haberland-Stadion,
4,08/23/1975 15:00,FC St. Pauli,Union Solingen,1,2,Wilhelm-Koch-Stadion,
4,08/23/1975 15:00,Arminia Bielefeld,DJK Gütersloh,2,0,Bielefelder Alm,
4,08/23/1975 15:00,Tennis Borussia Berlin,Alemannia Aachen,6,0,Mommsenstadion,
4,08/23/1975 15:00,VfL Osnabrück,SG Wattenscheid 09,1,0,Piepenbrock-Stadion an der Bremer Brücke,
4,08/23/1975 15:00,SC Preußen Münster,1. SC Göttingen 05,1,0,Preußenstadion,
4,08/23/1975 15:00,Schwarz-Weiß Essen,SpVgg Erkenschwick,3,1,Grugastadion,
4,08/23/1975 15:00,Wuppertaler SV,1. FC Mülheim,1,1,Stadion am Zoo,
5,08/30/1975 15:00,DJK Gütersloh,VfL Osnabrück,4,2,Heidewaldstadion,
5,08/30/1975 15:00,Fortuna Köln,Arminia Bielefeld,1,2,Müngersdorfer Stadion (1923-1973),
5,08/30/1975 15:00,SpVgg Erkenschwick,SC Westfalia Herne,0,4,Stimbergstadion,
5,08/30/1975 15:00,Alemannia Aachen,Wuppertaler SV,1,1,Tivoli (alt),
5,08/30/1975 15:00,Union Solingen,Bayer 04 Leverkusen,1,1,Stadion am Hermann-Löns-Weg,
