round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/22/1988 20:00,Borussia Dortmund,VfB Stuttgart,1,2,Westfalenstadion,
1,07/22/1988 20:00,SV Waldhof Mannheim,Bayer 04 Leverkusen,1,1,Südweststadion,
1,07/23/1988 15:30,1. FC Köln,FC Bayer 05 Uerdingen,1,1,Müngersdorfer Stadion,
1,07/23/1988 15:30,FC St. Pauli,1. FC Nürnberg,0,1,Wilhelm-Koch-Stadion,
1,07/23/1988 15:30,Stuttgarter Kickers,VfL Bochum,1,2,Neckarstadion,
1,07/23/1988 15:30,Bayern München,Eintracht Frankfurt,3,0,Olympiastadion,
1,07/23/1988 15:30,Hannover 96,Karlsruher SC,2,3,Niedersachsenstadion,
1,07/23/1988 15:30,SV Werder Bremen,Hamburger SV,2,1,Weserstadion,
1,07/23/1988 15:30,Borussia Mönchengladbach,1. FC Kaiserslautern,4,1,Bökelbergstadion,
2,07/29/1988 20:00,Hamburger SV,Borussia Dortmund,0,0,Volksparkstadion,
2,07/29/1988 20:00,VfB Stuttgart,Hannover 96,2,1,Neckarstadion,
2,07/30/1988 15:30,Bayer 04 Leverkusen,Borussia Mönchengladbach,3,1,Ulrich-Haberland-Stadion,
2,07/30/1988 15:30,Karlsruher SC,Bayern München,2,2,Wildparkstadion,
2,07/30/1988 15:30,Eintracht Frankfurt,Stuttgarter Kickers,1,2,Waldstadion,
2,07/30/1988 15:30,VfL Bochum,FC St. Pauli,0,0,Ruhrstadion,
2,07/30/1988 15:30,1. FC Nürnberg,1. FC Köln,0,2,Städtisches Stadion,
2,07/30/1988 15:30,FC Bayer 05 Uerdingen,SV Waldhof Mannheim,0,0,Grotenburg,
2,07/30/1988 15:30,1. FC Kaiserslautern,SV Werder Bremen,0,0,Fritz-Walter-Stadion,
3,08/12/1988 20:00,Borussia Dortmund,1. FC Kaiserslautern,1,1,Westfalenstadion,
3,08/13/1988 15:30,FC St. Pauli,Eintracht Frankfurt,2,0,Wilhelm-Koch-Stadion,
3,08/13/1988 15:30,Stuttgarter Kickers,Karlsruher SC,1,3,Neckarstadion,
3,08/13/1988 15:30,Hannover 96,Hamburger SV,2,3,Niedersachsenstadion,
3,08/13/1988 15:30,SV Werder Bremen,Bayer 04 Leverkusen,3,1,Weserstadion,
3,08/13/1988 15:30,FC Bayer 05 Uerdingen,1. FC Nürnberg,3,2,Grotenburg,
3,08/13/1988 15:30,SV Waldhof Mannheim,Borussia Mönchengladbach,4,1,Südweststadion,
3,08/16/1988 20:00,1. FC Köln,VfL Bochum,1,0,Müngersdorfer Stadion,
3,11/15/1988 20:00,Bayern München,VfB Stuttgart,3,3,Olympiastadion,
4,08/19/1988 20:00,Karlsruher SC,FC St. Pauli,3,1,Wildparkstadion,
4,08/19/1988 20:00,Eintracht Frankfurt,1. FC Köln,1,0,Waldstadion,
4,08/20/1988 15:30,Bayer 04 Leverkusen,Borussia Dortmund,2,0,Ulrich-Haberland-Stadion,
4,08/20/1988 15:30,Hamburger SV,Bayern München,0,1,Volksparkstadion,
4,08/20/1988 15:30,VfB Stuttgart,Stuttgarter Kickers,4,0,Neckarstadion,
4,08/20/1988 15:30,VfL Bochum,FC Bayer 05 Uerdingen,1,1,Ruhrstadion,
4,08/20/1988 15:30,1. FC Nürnberg,SV Waldhof Mannheim,1,0,Städtisches Stadion,
4,08/20/1988 15:30,Borussia Mönchengladbach,SV Werder Bremen,4,1,Bökelbergstadion,
4,08/20/1988 15:30,1. FC Kaiserslautern,Hannover 96,0,0,Fritz-Walter-Stadion,
5,08/26/1988 18:15,FC St. Pauli,VfB Stuttgart,2,1,Wilhelm-Koch-Stadion,
5,08/26/1988 20:00,FC Bayer 05 Uerdingen,Eintracht Frankfurt,4,1,Grotenburg,
5,08/27/1988 15:30,1. FC Köln,Karlsruher SC,6,1,Müngersdorfer Stadion,
5,08/27/1988 15:30,Stuttgarter Kickers,Hamburger SV,2,0,Neckarstadion,
5,08/27/1988 15:30,Bayern München,1. FC Kaiserslautern,5,1,Olympiastadion,
5,08/27/1988 15:30,Hannover 96,Bayer 04 Leverkusen,2,2,Niedersachsenstadion,
5,08/27/1988 15:30,Borussia Dortmund,Borussia Mönchengladbach,0,0,Westfalenstadion,
5,08/27/1988 15:30,1. FC Nürnberg,VfL Bochum,3,1,Städtisches Stadion,
5,08/27/1988 15:30,SV Waldhof Mannheim,SV Werder Bremen,1,1,Südweststadion,
6,09/02/1988 20:00,Borussia Mönchengladbach,Hannover 96,2,0,Bökelbergstadion,
6,09/03/1988 15:30,Bayer 04 Leverkusen,Bayern München,1,1,Ulrich-Haberland-Stadion,
6,09/03/1988 15:30,Hamburger SV,FC St. Pauli,1,1,Volksparkstadion,
6,09/03/1988 15:30,VfB Stuttgart,1. FC Köln,2,0,Neckarstadion,
6,09/03/1988 15:30,Karlsruher SC,FC Bayer 05 Uerdingen,0,1,Wildparkstadion,
6,09/03/1988 15:30,Eintracht Frankfurt,1. FC Nürnberg,1,0,Waldstadion,
6,09/03/1988 15:30,VfL Bochum,SV Waldhof Mannheim,2,2,Ruhrstadion,
6,09/03/1988 15:30,1. FC Kaiserslautern,Stuttgarter Kickers,6,0,Fritz-Walter-Stadion,
6,11/29/1988 20:00,SV Werder Bremen,Borussia Dortmund,2,0,Weserstadion,
7,09/09/1988 17:45,FC St. Pauli,1. FC Kaiserslautern,1,1,Wilhelm-Koch-Stadion,
7,09/10/1988 15:30,1. FC Köln,Hamburger SV,1,2,Müngersdorfer Stadion,
