round,date,home_team,away_team,home_score,away_score,stadium,stage
1,03/07/1992 15:00,Eintracht Braunschweig,Fortuna Köln,1,0,Städtisches Stadion an der Hamburger Straße,
1,03/07/1992 15:00,FC Remscheid,VfL Osnabrück,1,1,Röntgen-Stadion,
1,03/07/1992 15:00,BSV Brandenburg,Blau-Weiß 90 Berlin,2,2,Stadion am Quenz,
2,03/14/1992 15:00,VfL Osnabrück,BSV Brandenburg,3,2,Piepenbrock-Stadion an der Bremer Brücke,
2,03/14/1992 15:00,Blau-Weiß 90 Berlin,Eintracht Braunschweig,0,2,Olympiastadion,
2,03/14/1992 15:00,Fortuna Köln,FC Remscheid,1,2,Kölner Südstadion,
3,03/21/1992 15:00,FC Remscheid,Eintracht Braunschweig,0,0,Röntgen-Stadion,
3,03/21/1992 15:00,Blau-Weiß 90 Berlin,VfL Osnabrück,1,1,Olympiastadion,
3,03/21/1992 15:00,BSV Brandenburg,Fortuna Köln,0,3,Stadion am Quenz,
4,03/28/1992 15:00,Eintracht Braunschweig,BSV Brandenburg,3,1,Städtisches Stadion an der Hamburger Straße,
4,03/28/1992 15:00,FC Remscheid,Blau-Weiß 90 Berlin,2,0,Röntgen-Stadion,
4,03/28/1992 15:00,Fortuna Köln,VfL Osnabrück,2,0,Kölner Südstadion,
5,04/04/1992 15:00,VfL Osnabrück,Eintracht Braunschweig,3,1,Piepenbrock-Stadion an der Bremer Brücke,
5,04/04/1992 15:00,Blau-Weiß 90 Berlin,Fortuna Köln,0,1,Olympiastadion,
5,04/04/1992 15:00,BSV Brandenburg,FC Remscheid,1,1,Stadion am Quenz,
6,04/11/1992 15:00,Fortuna Köln,Eintracht Braunschweig,2,2,Kölner Südstadion,
6,04/11/1992 15:00,VfL Osnabrück,FC Remscheid,1,1,Piepenbrock-Stadion an der Bremer Brücke,
6,04/11/1992 15:00,Blau-Weiß 90 Berlin,BSV Brandenburg,2,0,Olympiastadion,
7,04/25/1992 15:00,BSV Brandenburg,VfL Osnabrück,0,0,Stadion am Quenz,
7,04/25/1992 15:00,Eintracht Braunschweig,Blau-Weiß 90 Berlin,2,3,Städtisches Stadion an der Hamburger Straße,
7,04/25/1992 15:00,FC Remscheid,Fortuna Köln,0,1,Röntgen-Stadion,
8,05/02/1992 15:00,Eintracht Braunschweig,FC Remscheid,2,0,Städtisches Stadion an der Hamburger Straße,
8,05/02/1992 15:00,VfL Osnabrück,Blau-Weiß 90 Berlin,1,1,Piepenbrock-Stadion an der Bremer Brücke,
8,05/02/1992 15:00,Fortuna Köln,BSV Brandenburg,2,1,Kölner Südstadion,
9,05/10/1992 15:00,BSV Brandenburg,Eintracht Braunschweig,1,0,Stadion am Quenz,
9,05/10/1992 15:00,Blau-Weiß 90 Berlin,FC Remscheid,2,2,Olympiastadion,
9,05/10/1992 15:00,VfL Osnabrück,Fortuna Köln,2,5,Piepenbrock-Stadion an der Bremer Brücke,
10,05/17/1992 15:00,Eintracht Braunschweig,VfL Osnabrück,6,1,Städtisches Stadion an der Hamburger Straße,
10,05/17/1992 15:00,Fortuna Köln,Blau-Weiß 90 Berlin,0,1,Kölner Südstadion,
10,05/17/1992 15:00,FC Remscheid,BSV Brandenburg,0,1,Röntgen-Stadion,
