round,date,home_team,away_team,home_score,away_score,stadium,stage
1,03/07/1992 15:00,VfB Oldenburg,FC Bayer 05 Uerdingen,1,1,Marschweg-Stadion,
1,03/07/1992 15:00,Hertha BSC,FC St. Pauli,2,1,Olympiastadion,
1,03/07/1992 15:00,SV Meppen,Hannover 96,3,0,Emslandstadion,
2,03/14/1992 15:00,FC Bayer 05 Uerdingen,Hertha BSC,2,3,Grotenburg,
2,03/14/1992 15:00,FC St. Pauli,SV Meppen,1,0,Wilhelm-Koch-Stadion,
2,03/14/1992 15:00,Hannover 96,VfB Oldenburg,1,1,Niedersachsenstadion,
3,03/21/1992 15:00,FC Bayer 05 Uerdingen,Hannover 96,1,0,Grotenburg,
3,03/21/1992 15:00,VfB Oldenburg,FC St. Pauli,2,0,Marschweg-Stadion,
3,03/21/1992 15:00,SV Meppen,Hertha BSC,0,1,Emslandstadion,
4,03/28/1992 15:00,Hertha BSC,VfB Oldenburg,2,2,Olympiastadion,
4,03/28/1992 15:00,FC St. Pauli,Hannover 96,0,3,Wilhelm-Koch-Stadion,
4,03/28/1992 15:00,SV Meppen,FC Bayer 05 Uerdingen,0,1,Emslandstadion,
5,04/04/1992 15:00,FC Bayer 05 Uerdingen,FC St. Pauli,1,1,Grotenburg,
5,04/04/1992 15:00,VfB Oldenburg,SV Meppen,1,0,Marschweg-Stadion,
5,04/04/1992 15:00,Hannover 96,Hertha BSC,2,1,Niedersachsenstadion,
6,04/11/1992 15:00,FC Bayer 05 Uerdingen,VfB Oldenburg,0,1,Grotenburg,
6,04/11/1992 15:00,FC St. Pauli,Hertha BSC,0,3,Wilhelm-Koch-Stadion,
6,04/16/1992 15:00,Hannover 96,SV Meppen,1,1,Niedersachsenstadion,
7,04/25/1992 15:00,Hertha BSC,FC Bayer 05 Uerdingen,0,5,Olympiastadion,
7,04/25/1992 15:00,SV Meppen,FC St. Pauli,0,2,Emslandstadion,
7,04/25/1992 15:00,VfB Oldenburg,Hannover 96,5,0,Marschweg-Stadion,
8,05/02/1992 15:00,Hannover 96,FC Bayer 05 Uerdingen,1,1,Niedersachsenstadion,
8,05/02/1992 15:00,FC St. Pauli,VfB Oldenburg,3,2,Wilhelm-Koch-Stadion,
8,05/02/1992 15:00,Hertha BSC,SV Meppen,3,1,Olympiastadion,
9,05/10/1992 15:00,VfB Oldenburg,Hertha BSC,1,0,Marschweg-Stadion,
9,05/10/1992 15:00,Hannover 96,FC St. Pauli,0,2,Niedersachsenstadion,
9,05/10/1992 15:00,FC Bayer 05 Uerdingen,SV Meppen,0,1,Grotenburg,
10,05/17/1992 15:00,FC St. Pauli,FC Bayer 05 Uerdingen,0,0,Wilhelm-Koch-Stadion,
10,05/17/1992 15:00,SV Meppen,VfB Oldenburg,0,2,Emslandstadion,
10,05/17/1992 15:00,Hertha BSC,Hannover 96,1,1,Olympiastadion,
