round,date,home_team,away_team,home_score,away_score,stadium,stage
1,03/06/1992 19:00,SV Darmstadt 98,Hallescher FC,2,1,Böllenfalltor,
1,03/07/1992 15:00,TSV 1860 München,Rot-Weiß Erfurt,2,0,Stadion an der Grünwalder Straße,
1,04/18/1992 15:00,VfB Leipzig,1. FSV Mainz 05,0,1,Bruno-Plache-Stadion,
2,03/14/1992 15:00,Hallescher FC,VfB Leipzig,3,2,Kurt-Wabbel-Stadion,
2,03/14/1992 15:00,Rot-Weiß Erfurt,SV Darmstadt 98,2,2,Steigerwaldstadion,
2,03/14/1992 15:00,1. FSV Mainz 05,TSV 1860 München,0,2,Bruchwegstadion,
3,03/21/1992 15:00,TSV 1860 München,Hallescher FC,2,0,Stadion an der Grünwalder Straße,
3,03/21/1992 15:00,Rot-Weiß Erfurt,1. FSV Mainz 05,3,0,Steigerwaldstadion,
3,03/21/1992 15:00,VfB Leipzig,SV Darmstadt 98,3,0,Bruno-Plache-Stadion,
4,03/28/1992 15:00,Hallescher FC,1. FSV Mainz 05,2,1,Kurt-Wabbel-Stadion,
4,03/28/1992 15:00,SV Darmstadt 98,TSV 1860 München,3,1,Böllenfalltor,
4,03/28/1992 15:00,VfB Leipzig,Rot-Weiß Erfurt,0,0,Bruno-Plache-Stadion,
5,04/03/1992 19:00,1. FSV Mainz 05,SV Darmstadt 98,1,0,Bruchwegstadion,
5,04/04/1992 15:00,TSV 1860 München,VfB Leipzig,0,2,Stadion an der Grünwalder Straße,
5,04/04/1992 15:00,Rot-Weiß Erfurt,Hallescher FC,4,0,Steigerwaldstadion,
6,04/11/1992 15:00,Rot-Weiß Erfurt,TSV 1860 München,1,1,Steigerwaldstadion,
6,04/11/1992 15:00,1. FSV Mainz 05,VfB Leipzig,1,2,Bruchwegstadion,
6,04/11/1992 15:00,Hallescher FC,SV Darmstadt 98,0,0,Kurt-Wabbel-Stadion,
7,04/24/1992 19:00,VfB Leipzig,Hallescher FC,1,1,Bruno-Plache-Stadion,
7,04/24/1992 19:00,SV Darmstadt 98,Rot-Weiß Erfurt,4,1,Böllenfalltor,
7,04/25/1992 15:00,TSV 1860 München,1. FSV Mainz 05,1,1,Stadion an der Grünwalder Straße,
8,04/30/1992 19:00,Hallescher FC,TSV 1860 München,0,0,Kurt-Wabbel-Stadion,
8,05/03/1992 15:00,1. FSV Mainz 05,Rot-Weiß Erfurt,3,1,Bruchwegstadion,
8,05/03/1992 15:00,SV Darmstadt 98,VfB Leipzig,2,0,Böllenfalltor,
9,05/10/1992 15:00,1. FSV Mainz 05,Hallescher FC,1,0,Bruchwegstadion,
9,05/10/1992 15:00,TSV 1860 München,SV Darmstadt 98,3,0,Stadion an der Grünwalder Straße,
9,05/10/1992 15:00,Rot-Weiß Erfurt,VfB Leipzig,1,2,Steigerwaldstadion,
10,05/17/1992 15:00,SV Darmstadt 98,1. FSV Mainz 05,2,1,Böllenfalltor,
10,05/17/1992 15:00,VfB Leipzig,TSV 1860 München,1,0,Bruno-Plache-Stadion,
10,05/17/1992 15:00,Hallescher FC,Rot-Weiß Erfurt,1,2,Kurt-Wabbel-Stadion,
