round,date,home_team,away_team,home_score,away_score,stadium,stage
1,03/07/1992 15:00,1. FC Saarbrücken,SC Freiburg,2,0,Ludwigspark,
1,03/07/1992 15:00,Chemnitzer FC,SV Waldhof Mannheim,1,2,Sportforum Chemnitz,
1,03/08/1992 15:00,FC Carl Zeiss Jena,FC 08 Homburg,3,1,Ernst-Abbe-Sportfeld,
2,03/14/1992 15:00,SV Waldhof Mannheim,1. FC Saarbrücken,1,1,Seppl-Herberger-Stadion,
2,03/14/1992 15:00,FC 08 Homburg,Chemnitzer FC,0,1,Waldstadion Homburg,
2,03/14/1992 15:00,SC Freiburg,FC Carl Zeiss Jena,2,0,Dreisamstadion,
3,03/21/1992 15:00,Chemnitzer FC,FC Carl Zeiss Jena,1,0,Sportforum Chemnitz,
3,03/21/1992 15:00,SC Freiburg,SV Waldhof Mannheim,0,0,Dreisamstadion,
3,03/21/1992 15:00,1. FC Saarbrücken,FC 08 Homburg,2,0,Ludwigspark,
4,03/27/1992 19:00,FC 08 Homburg,SV Waldhof Mannheim,0,2,Waldstadion Homburg,
4,03/28/1992 15:00,FC Carl Zeiss Jena,1. FC Saarbrücken,0,0,Ernst-Abbe-Sportfeld,
4,04/16/1992 20:15,Chemnitzer FC,SC Freiburg,0,0,Sportforum Chemnitz,
5,04/04/1992 15:00,SC Freiburg,FC 08 Homburg,1,3,Dreisamstadion,
5,04/04/1992 15:00,1. FC Saarbrücken,Chemnitzer FC,1,0,Ludwigspark,
5,04/05/1992 15:00,SV Waldhof Mannheim,FC Carl Zeiss Jena,2,1,Seppl-Herberger-Stadion,
6,04/11/1992 15:00,SV Waldhof Mannheim,Chemnitzer FC,1,1,Seppl-Herberger-Stadion,
6,04/12/1992 15:00,SC Freiburg,1. FC Saarbrücken,0,0,Dreisamstadion,
6,04/12/1992 15:00,FC 08 Homburg,FC Carl Zeiss Jena,2,2,Waldstadion Homburg,
7,04/24/1992 19:00,FC Carl Zeiss Jena,SC Freiburg,1,2,Ernst-Abbe-Sportfeld,
7,04/25/1992 15:00,Chemnitzer FC,FC 08 Homburg,1,0,Sportforum Chemnitz,
7,04/26/1992 15:00,1. FC Saarbrücken,SV Waldhof Mannheim,4,0,Ludwigspark,
8,05/02/1992 15:00,FC Carl Zeiss Jena,Chemnitzer FC,1,2,Ernst-Abbe-Sportfeld,
8,05/02/1992 15:00,FC 08 Homburg,1. FC Saarbrücken,4,0,Waldstadion Homburg,
8,05/03/1992 15:00,SV Waldhof Mannheim,SC Freiburg,6,2,Seppl-Herberger-Stadion,
9,05/10/1992 15:00,1. FC Saarbrücken,FC Carl Zeiss Jena,1,0,Ludwigspark,
9,05/10/1992 15:00,SC Freiburg,Chemnitzer FC,3,1,Dreisamstadion,
9,05/10/1992 15:00,SV Waldhof Mannheim,FC 08 Homburg,1,1,Seppl-Herberger-Stadion,
10,05/17/1992 15:00,FC 08 Homburg,SC Freiburg,3,1,Waldstadion Homburg,
10,05/17/1992 15:00,FC Carl Zeiss Jena,SV Waldhof Mannheim,3,2,Ernst-Abbe-Sportfeld,
10,05/17/1992 15:00,Chemnitzer FC,1. FC Saarbrücken,1,3,Sportforum Chemnitz,
