round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/23/1991 19:30,1. FC Saarbrücken,SV Waldhof Mannheim,2,1,Ludwigspark,
1,07/24/1991 19:30,Rot-Weiß Erfurt,Hallescher FC,2,3,Steigerwaldstadion,
1,07/24/1991 19:30,1. FSV Mainz 05,Chemnitzer FC,0,0,Bruchwegstadion,
1,07/24/1991 19:30,SC Freiburg,TSV 1860 München,2,1,Dreisamstadion,
1,07/24/1991 19:39,SV Darmstadt 98,FC 08 Homburg,0,3,Böllenfalltor,
1,07/25/1991 20:15,VfB Leipzig,FC Carl Zeiss Jena,0,1,Bruno-Plache-Stadion,
2,08/02/1991 19:00,Chemnitzer FC,SC Freiburg,2,1,Sportforum Chemnitz,
2,08/02/1991 19:00,FC Carl Zeiss Jena,1. FC Saarbrücken,1,1,Ernst-Abbe-Sportfeld,
2,08/03/1991 15:00,TSV 1860 München,VfB Leipzig,0,0,Stadion an der Grünwalder Straße,
2,08/03/1991 15:00,Hallescher FC,1. FSV Mainz 05,2,2,Kurt-Wabbel-Stadion,
2,08/03/1991 15:00,FC 08 Homburg,Rot-Weiß Erfurt,1,0,Waldstadion Homburg,
2,08/04/1991 15:00,SV Waldhof Mannheim,SV Darmstadt 98,3,1,Seppl-Herberger-Stadion,
3,08/09/1991 19:00,Rot-Weiß Erfurt,SV Darmstadt 98,2,2,Steigerwaldstadion,
3,08/09/1991 19:00,1. FSV Mainz 05,FC 08 Homburg,0,0,Bruchwegstadion,
3,08/10/1991 15:00,SV Waldhof Mannheim,FC Carl Zeiss Jena,2,0,Seppl-Herberger-Stadion,
3,08/10/1991 15:00,SC Freiburg,Hallescher FC,3,1,Dreisamstadion,
3,08/10/1991 15:00,VfB Leipzig,Chemnitzer FC,0,0,Bruno-Plache-Stadion,
3,08/11/1991 15:00,1. FC Saarbrücken,TSV 1860 München,1,1,Ludwigspark,
4,08/13/1991 19:30,Rot-Weiß Erfurt,1. FSV Mainz 05,0,5,Steigerwaldstadion,
4,08/13/1991 19:30,FC 08 Homburg,SC Freiburg,3,0,Waldstadion Homburg,
4,08/13/1991 19:30,SV Darmstadt 98,FC Carl Zeiss Jena,3,1,Böllenfalltor,
4,08/14/1991 19:30,Hallescher FC,VfB Leipzig,3,1,Kurt-Wabbel-Stadion,
4,08/14/1991 19:30,TSV 1860 München,SV Waldhof Mannheim,1,0,Stadion an der Grünwalder Straße,
4,08/14/1991 19:30,Chemnitzer FC,1. FC Saarbrücken,0,0,Sportforum Chemnitz,
5,08/21/1991 19:30,SV Waldhof Mannheim,Chemnitzer FC,1,1,Seppl-Herberger-Stadion,
5,08/23/1991 19:00,1. FC Saarbrücken,Hallescher FC,3,0,Ludwigspark,
5,08/24/1991 15:00,FC Carl Zeiss Jena,TSV 1860 München,2,1,Ernst-Abbe-Sportfeld,
5,08/24/1991 15:00,1. FSV Mainz 05,SV Darmstadt 98,1,0,Bruchwegstadion,
5,08/24/1991 15:00,SC Freiburg,Rot-Weiß Erfurt,6,0,Dreisamstadion,
5,08/25/1991 15:00,VfB Leipzig,FC 08 Homburg,1,1,Bruno-Plache-Stadion,
6,08/27/1991 19:30,SV Darmstadt 98,TSV 1860 München,2,0,Böllenfalltor,
6,08/27/1991 19:30,1. FSV Mainz 05,SC Freiburg,0,0,Bruchwegstadion,
6,08/28/1991 19:30,Hallescher FC,SV Waldhof Mannheim,0,0,Kurt-Wabbel-Stadion,
6,08/28/1991 19:30,Chemnitzer FC,FC Carl Zeiss Jena,0,2,Sportforum Chemnitz,
6,08/28/1991 19:30,FC 08 Homburg,1. FC Saarbrücken,4,1,Waldstadion Homburg,
6,08/28/1991 19:30,Rot-Weiß Erfurt,VfB Leipzig,1,3,Steigerwaldstadion,
7,08/31/1991 15:00,FC Carl Zeiss Jena,Hallescher FC,2,0,Ernst-Abbe-Sportfeld,
7,08/31/1991 15:00,TSV 1860 München,Chemnitzer FC,0,0,Stadion an der Grünwalder Straße,
7,08/31/1991 15:00,SC Freiburg,SV Darmstadt 98,3,1,Dreisamstadion,
7,08/31/1991 15:00,VfB Leipzig,1. FSV Mainz 05,1,1,Bruno-Plache-Stadion,
7,08/31/1991 15:00,1. FC Saarbrücken,Rot-Weiß Erfurt,4,0,Ludwigspark,
