round,date,home_team,away_team,home_score,away_score,stadium,stage
1,02/29/1992,Inker,Varteks,1,3,,
1,02/29/1992,Osijek,Zagreb,1,0,,
1,02/29/1992,Rijeka,Šibenik,2,0,,
1,02/29/1992,Hajduk,Istra,3,1,,
1,02/29/1992,HAŠK Građanski,Cibalia,2,0,,
1,02/29/1992,Dubrovnik,Zadar,0,2,,
2,07/03/1992,Dubrovnik,HAŠK Građanski,0,3,,
2,07/03/1992,Cibalia,Hajduk,0,2,,
2,07/03/1992,Istra,Rijeka,1,1,,
2,07/03/1992,Šibenik,Osijek,0,2,,
2,07/03/1992,Zagreb,Inker,2,0,,
2,07/03/1992,Zadar,Varteks,2,1,,
3,11/03/1992,HAŠK Građanski,Zadar,3,0,,
3,11/03/1992,Hajduk,Dubrovnik,9,0,,
3,11/03/1992,Rijeka,Cibalia,1,0,,
3,11/03/1992,Osijek,Istra,0,1,,
3,11/03/1992,Inker,Šibenik,6,0,,
3,11/03/1992,Varteks,Zagreb,2,1,,
4,03/14/1992,HAŠK Građanski,Hajduk,1,2,,
4,03/14/1992,Dubrovnik,Rijeka,0,1,,
4,03/14/1992,Cibalia,Osijek,1,1,,
4,03/14/1992,Istra,Inker,2,0,,
4,03/14/1992,Šibenik,Varteks,2,2,,
4,03/14/1992,Zadar,Zagreb,0,4,,
5,03/17/1992,Hajduk,Zadar,2,0,,
5,03/17/1992,Rijeka,HAŠK Građanski,1,0,,
5,03/17/1992,Osijek,Dubrovnik,1,0,,
5,03/17/1992,Inker,Cibalia,0,0,,
5,03/17/1992,Varteks,Istra,1,1,,
5,03/17/1992,Zagreb,Šibenik,3,0,,
6,03/21/1992,Hajduk,Rijeka,3,0,,
6,03/21/1992,HAŠK Građanski,Osijek,2,0,,
6,03/21/1992,Dubrovnik,Inker,0,3,,
6,03/21/1992,Cibalia,Varteks,2,1,,
6,03/21/1992,Istra,Zagreb,0,2,,
6,03/21/1992,Zadar,Šibenik,1,1,,
7,03/28/1992,Rijeka,Zadar,4,1,,
7,03/28/1992,Osijek,Hajduk,3,3,,
7,03/28/1992,Inker,HAŠK Građanski,2,1,,
7,03/28/1992,Varteks,Dubrovnik,2,0,,
7,03/28/1992,Zagreb,Cibalia,2,1,,
7,03/28/1992,Šibenik,Istra,0,0,,
8,03/31/1992,Rijeka,Osijek,2,0,,
8,03/31/1992,Hajduk,Inker,0,2,,
8,03/31/1992,HAŠK Građanski,Varteks,4,0,,
8,03/31/1992,Dubrovnik,Zagreb,0,0,,
8,03/31/1992,Cibalia,Šibenik,0,0,,
8,03/31/1992,Zadar,Istra,0,1,,
9,04/04/1992,Osijek,Zadar,4,0,,
9,04/04/1992,Inker,Rijeka,3,0,,
9,04/04/1992,Varteks,Hajduk,0,1,,
9,04/04/1992,Zagreb,HAŠK Građanski,2,0,,
9,04/04/1992,Šibenik,Dubrovnik,0,0,,
9,04/04/1992,Istra,Cibalia,2,0,,
10,11/04/1992,Osijek,Inker,2,1,,
10,11/04/1992,Rijeka,Varteks,1,0,,
10,11/04/1992,Hajduk,Zagreb,1,0,,
10,11/04/1992,HAŠK Građanski,Šibenik,2,0,,
10,11/04/1992,Dubrovnik,Istra,1,0,,
10,11/04/1992,Zadar,Cibalia,2,2,,
11,04/14/1992,Inker,Zadar,2,1,,
11,04/14/1992,Varteks,Osijek,0,1,,
11,04/14/1992,Zagreb,Rijeka,1,0,,
11,04/14/1992,Šibenik,Hajduk,2,3,,
11,04/14/1992,Istra,HAŠK Građanski,1,1,,
11,04/14/1992,Cibalia,Dubrovnik,0,0,,
12,04/25/1992,Zadar,Dubrovnik,0,0,,
12,04/25/1992,Cibalia,HAŠK Građanski,0,2,,
12,04/25/1992,Istra,Hajduk,0,1,,
12,04/25/1992,Šibenik,Rijeka,1,2,,
12,04/25/1992,Zagreb,Osijek,2,0,,
12,04/25/1992,Varteks,Inker,1,1,,
13,02/05/1992,Varteks,Zadar,4,0,,
13,02/05/1992,Inker,Zagreb,0,0,,
13,02/05/1992,Osijek,Šibenik,3,1,,
13,02/05/1992,Rijeka,Istra,3,0,,
13,02/05/1992,Hajduk,Cibalia,1,1,,
13,02/05/1992,HAŠK Građanski,Dubrovnik,2,1,,
14,05/05/1992,Zagreb,Varteks,2,2,,
14,05/05/1992,Šibenik,Inker,1,1,,
14,05/05/1992,Istra,Osijek,1,2,,
14,05/05/1992,Cibalia,Rijeka,2,0,,
14,05/05/1992,Dubrovnik,Hajduk,0,1,,
14,05/05/1992,Zadar,HAŠK Građanski,1,1,,
15,09/05/1992,Zagreb,Zadar,2,0,,
15,09/05/1992,Varteks,Šibenik,4,0,,
15,09/05/1992,Inker,Istra,4,1,,
15,09/05/1992,Osijek,Cibalia,2,1,,
15,09/05/1992,Rijeka,Dubrovnik,3,0,,
15,09/05/1992,Hajduk,HAŠK Građanski,0,0,,
16,12/05/1992,Šibenik,Zagreb,0,1,,
16,12/05/1992,Istra,Varteks,2,1,,
16,12/05/1992,Cibalia,Inker,1,0,,
16,12/05/1992,Dubrovnik,Osijek,0,0,,
16,12/05/1992,HAŠK Građanski,Rijeka,2,0,,
16,12/05/1992,Zadar,Hajduk,0,3,,
17,05/16/1992,Šibenik,Zadar,4,0,,
17,05/16/1992,Zagreb,Istra,2,1,,
17,05/16/1992,Varteks,Cibalia,2,0,,
17,05/16/1992,Inker,Dubrovnik,3,0,,
17,05/16/1992,Osijek,HAŠK Građanski,1,2,,
17,05/16/1992,Rijeka,Hajduk,0,2,,
18,05/23/1992,Istra,Šibenik,1,0,,
18,05/23/1992,Cibalia,Zagreb,0,1,,
18,05/23/1992,Dubrovnik,Varteks,0,0,,
18,05/23/1992,HAŠK Građanski,Inker,0,2,,
18,05/23/1992,Hajduk,Osijek,2,0,,
18,05/23/1992,Zadar,Rijeka,1,1,,
19,05/26/1992,Istra,Zadar,2,1,,
19,05/26/1992,Šibenik,Cibalia,1,1,,
19,05/26/1992,Zagreb,Dubrovnik,3,0,,
19,05/26/1992,Varteks,HAŠK Građanski,4,0,,
19,05/26/1992,Inker,Hajduk,0,0,,
19,05/26/1992,Osijek,Rijeka,3,2,,
20,05/31/1992,Cibalia,Istra,1,1,,
20,05/31/1992,Dubrovnik,Šibenik,2,1,,
20,05/31/1992,HAŠK Građanski,Zagreb,0,0,,
20,05/31/1992,Hajduk,Varteks,1,0,,
20,05/31/1992,Rijeka,Inker,0,0,,
20,05/31/1992,Zadar,Osijek,3,5,,
21,06/06/1992,Cibalia,Zadar,0,1,,
21,06/06/1992,Istra,Dubrovnik,2,0,,
21,06/06/1992,Šibenik,HAŠK Građanski,3,1,,
21,06/06/1992,Zagreb,Hajduk,3,0,,
21,06/06/1992,Varteks,Rijeka,1,1,,
21,06/06/1992,Inker,Osijek,3,0,,
