round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/21/1993,AM Cosmos Ljubljana,Izola,2,1,Šiška,
1,08/22/1993,Slovan Mavrica,Istragas Jadran,0,0,Kodeljevo,
1,08/22/1993,Mura,Krka Novoterm,5,0,Fazanerija,
1,08/22/1993,Živila Naklo,Potrošnik Beltinci,2,1,Kranj,
1,08/22/1993,Maribor Branik,Optimizem Svoboda,0,1,Ljudski vrt,
1,08/22/1993,Koper,SCT Olimpija,0,0,Bonifika,
1,08/22/1993,Hit Gorica,Rudar Velenje,1,0,Športni park,
1,08/22/1993,Publikum,Primorje,3,0,Skalna klet,
2,08/28/1993,Krka Novoterm,Publikum,1,2,Portovald,
2,08/28/1993,Izola,SCT Olimpija,1,1,Izola,
2,08/29/1993,Optimizem Svoboda,Koper,1,1,Vič,
2,08/29/1993,Potrošnik Beltinci,Maribor Branik,0,0,Beltinci,
2,08/29/1993,Rudar Velenje,Živila Naklo,1,2,Ob jezeru,
2,08/29/1993,Primorje,Hit Gorica,4,2,Ajdovščina,
2,08/29/1993,Istragas Jadran,Mura,0,2,Izola,
2,08/29/1993,AM Cosmos Ljubljana,Slovan Mavrica,1,0,Šiška,
3,09/04/1993,Slovan Mavrica,Izola,1,1,Kodeljevo,
3,09/05/1993,Mura,AM Cosmos Ljubljana,4,0,Fazanerija,
3,09/05/1993,Hit Gorica,Krka Novoterm,3,1,Športni park,
3,09/05/1993,Živila Naklo,Primorje,1,1,Kranj,
3,09/05/1993,Maribor Branik,Rudar Velenje,2,0,Ljudski vrt,
3,09/05/1993,Koper,Potrošnik Beltinci,5,0,Bonifika,
3,09/05/1993,SCT Olimpija,Optimizem Svoboda,5,0,Bežigrad,
3,09/05/1993,Publikum,Istragas Jadran,1,1,Skalna klet,
4,09/10/1993,AM Cosmos Ljubljana,Publikum,0,0,Šiška,
4,09/11/1993,Izola,Optimizem Svoboda,2,1,Izola,
4,09/11/1993,Primorje,Maribor Branik,1,2,Ajdovščina,
4,09/12/1993,Krka Novoterm,Živila Naklo,0,2,Portovald,
4,09/12/1993,Slovan Mavrica,Mura,2,5,Kodeljevo,
4,09/12/1993,Istragas Jadran,Hit Gorica,0,0,Izola,
4,09/12/1993,Potrošnik Beltinci,SCT Olimpija,0,3,Beltinci,
4,09/12/1993,Rudar Velenje,Koper,2,2,Ob jezeru,
5,09/18/1993,Optimizem Svoboda,Potrošnik Beltinci,1,2,Vič,
5,09/19/1993,Publikum,Slovan Mavrica,4,3,Skalna klet,
5,09/19/1993,Mura,Izola,3,2,Murska Sobota,
5,09/19/1993,Hit Gorica,AM Cosmos Ljubljana,2,0,Športni park,
5,09/19/1993,Živila Naklo,Istragas Jadran,5,2,Kranj,
5,09/19/1993,Maribor Branik,Krka Novoterm,1,1,Ljudski vrt,
5,09/19/1993,Koper,Primorje,3,1,Bonifika,
5,09/19/1993,SCT Olimpija,Rudar Velenje,9,1,Bežigrad,
6,09/25/1993,Istragas Jadran,Maribor Branik,0,2,Izola,
6,09/26/1993,AM Cosmos Ljubljana,Živila Naklo,0,1,Šiška,
6,09/26/1993,Mura,Publikum,0,0,Murska Sobota,
6,09/26/1993,Izola,Potrošnik Beltinci,4,1,Izola,
6,09/26/1993,Rudar Velenje,Optimizem Svoboda,1,1,Velenje,
6,09/26/1993,Primorje,SCT Olimpija,1,2,Ajdovščina,
6,09/26/1993,Krka Novoterm,Koper,0,1,Portovald,
6,09/28/1993,Slovan Mavrica,Hit Gorica,0,3,Kodeljevo,
7,10/02/1993,Hit Gorica,Mura,2,1,Športni park,
7,10/02/1993,Optimizem Svoboda,Primorje,0,0,Vič,
7,10/03/1993,Potrošnik Beltinci,Rudar Velenje,2,0,Beltinci,
