round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/07/1994,FK Jablonec,FC Baník Ostrava,2,3,Střelnice,
1,08/07/1994,FC Petra Drnovice,AC Sparta Praha,0,4,Sportovní areál Drnovice,
1,08/07/1994,FK ŠVARC Benešov,SK České Budějovice JČE,2,1,Městský stadion Benešov,
1,08/07/1994,SK Sigma Olomouc MŽ,FC Bohemians Praha,2,0,Andrův stadión,
1,08/07/1994,FK Viktoria Žižkov,SK Hradec Králové,5,1,Stadion Viktoria Žižkov,
1,08/07/1994,SKP Union Cheb,FC Svit Zlín,1,1,Stadion Lokomotiva,
1,08/07/1994,SK Slavia Praha,FC Boby Brno,3,0,Sinobo Stadium,
1,08/07/1994,FC Slovan WSK Liberec,FC Viktoria Plzeň,1,2,Stadión U Nisy,
2,08/14/1994,FC Baník Ostrava,FC Viktoria Plzeň,1,0,Bazaly,
2,08/14/1994,FC Boby Brno,FC Slovan WSK Liberec,2,2,Za Lužánkami,
2,08/14/1994,FC Svit Zlín,SK Slavia Praha,0,4,Letná,
2,08/14/1994,SK Hradec Králové,SKP Union Cheb,0,1,Všesportovní stadion,
2,08/14/1994,FC Bohemians Praha,FK Viktoria Žižkov,0,4,Ďolíček,
2,08/14/1994,SK České Budějovice JČE,SK Sigma Olomouc MŽ,1,1,Střelecký ostrov,
2,08/14/1994,AC Sparta Praha,FK ŠVARC Benešov,2,0,Generali Česká pojišťovna Arena,
2,08/14/1994,FK Jablonec,FC Petra Drnovice,3,1,Střelnice,
3,08/21/1994,FC Petra Drnovice,FC Baník Ostrava,2,1,Sportovní areál Drnovice,
3,08/21/1994,FK ŠVARC Benešov,FK Jablonec,0,0,Městský stadion Benešov,
3,08/21/1994,SK Sigma Olomouc MŽ,AC Sparta Praha,1,1,Andrův stadión,
3,08/21/1994,FK Viktoria Žižkov,SK České Budějovice JČE,4,0,Stadion Viktoria Žižkov,
3,08/21/1994,SKP Union Cheb,FC Bohemians Praha,2,1,Stadion Lokomotiva,
3,08/21/1994,SK Slavia Praha,SK Hradec Králové,3,1,Sinobo Stadium,
3,08/21/1994,FC Slovan WSK Liberec,FC Svit Zlín,1,0,Stadión U Nisy,
3,08/21/1994,FC Viktoria Plzeň,FC Boby Brno,0,1,Doosan Aréna,
4,08/28/1994,FC Baník Ostrava,FC Boby Brno,2,2,Bazaly,
4,08/28/1994,FC Svit Zlín,FC Viktoria Plzeň,2,1,Letná,
4,08/28/1994,SK Hradec Králové,FC Slovan WSK Liberec,2,0,Všesportovní stadion,
4,08/28/1994,FC Bohemians Praha,SK Slavia Praha,1,2,Ďolíček,
4,08/28/1994,SK České Budějovice JČE,SKP Union Cheb,0,0,Střelecký ostrov,
4,08/28/1994,AC Sparta Praha,FK Viktoria Žižkov,3,1,Generali Česká pojišťovna Arena,
4,08/28/1994,FK Jablonec,SK Sigma Olomouc MŽ,2,1,Střelnice,
4,08/28/1994,FC Petra Drnovice,FK ŠVARC Benešov,1,3,Sportovní areál Drnovice,
5,08/31/1994,FK ŠVARC Benešov,FC Baník Ostrava,1,2,Městský stadion Benešov,
5,08/31/1994,SK Sigma Olomouc MŽ,FC Petra Drnovice,1,0,Andrův stadión,
5,08/31/1994,FK Viktoria Žižkov,FK Jablonec,2,1,Stadion Viktoria Žižkov,
5,08/31/1994,SKP Union Cheb,AC Sparta Praha,0,0,Stadion Lokomotiva,
5,08/31/1994,SK Slavia Praha,SK České Budějovice JČE,1,2,Sinobo Stadium,
5,08/31/1994,FC Slovan WSK Liberec,FC Bohemians Praha,3,1,Stadión U Nisy,
5,08/31/1994,FC Viktoria Plzeň,SK Hradec Králové,1,0,Doosan Aréna,
5,08/31/1994,FC Boby Brno,FC Svit Zlín,1,0,Za Lužánkami,
6,09/11/1994,FC Baník Ostrava,FC Svit Zlín,0,0,Bazaly,
6,09/11/1994,SK Hradec Králové,FC Boby Brno,0,2,Všesportovní stadion,
6,09/11/1994,FC Bohemians Praha,FC Viktoria Plzeň,3,0,Ďolíček,
6,09/11/1994,SK České Budějovice JČE,FC Slovan WSK Liberec,0,2,Střelecký ostrov,
6,09/11/1994,AC Sparta Praha,SK Slavia Praha,0,0,Generali Česká pojišťovna Arena,
6,09/11/1994,FK Jablonec,SKP Union Cheb,3,0,Střelnice,
6,09/11/1994,FC Petra Drnovice,FK Viktoria Žižkov,2,2,Sportovní areál Drnovice,
6,09/11/1994,FK ŠVARC Benešov,SK Sigma Olomouc MŽ,1,0,Městský stadion Benešov,
7,09/18/1994,SK Sigma Olomouc MŽ,FC Baník Ostrava,1,1,Andrův stadión,
7,09/18/1994,FK Viktoria Žižkov,FK ŠVARC Benešov,2,0,Stadion Viktoria Žižkov,
7,09/18/1994,SKP Union Cheb,FC Petra Drnovice,2,1,Stadion Lokomotiva,
7,09/18/1994,SK Slavia Praha,FK Jablonec,2,1,Sinobo Stadium,
7,09/18/1994,FC Slovan WSK Liberec,AC Sparta Praha,2,1,Stadión U Nisy,
7,09/18/1994,FC Viktoria Plzeň,SK České Budějovice JČE,0,0,Doosan Aréna,
7,09/18/1994,FC Boby Brno,FC Bohemians Praha,3,1,Za Lužánkami,
7,09/18/1994,FC Svit Zlín,SK Hradec Králové,2,0,Letná,
8,09/25/1994,FC Baník Ostrava,SK Hradec Králové,1,0,Bazaly,
8,09/25/1994,FC Bohemians Praha,FC Svit Zlín,1,0,Ďolíček,
8,09/25/1994,SK České Budějovice JČE,FC Boby Brno,1,1,Střelecký ostrov,
8,09/25/1994,AC Sparta Praha,FC Viktoria Plzeň,7,2,Generali Česká pojišťovna Arena,
8,09/25/1994,FK Jablonec,FC Slovan WSK Liberec,1,1,Střelnice,
8,09/25/1994,FC Petra Drnovice,SK Slavia Praha,1,2,Sportovní areál Drnovice,
8,09/25/1994,FK ŠVARC Benešov,SKP Union Cheb,1,2,Městský stadion Benešov,
8,09/25/1994,SK Sigma Olomouc MŽ,FK Viktoria Žižkov,1,2,Andrův stadión,
9,10/02/1994,FK Viktoria Žižkov,FC Baník Ostrava,5,2,Stadion Viktoria Žižkov,
9,10/02/1994,SKP Union Cheb,SK Sigma Olomouc MŽ,0,1,Stadion Lokomotiva,
9,10/02/1994,SK Slavia Praha,FK ŠVARC Benešov,2,0,Sinobo Stadium,
9,10/02/1994,FC Slovan WSK Liberec,FC Petra Drnovice,1,0,Stadión U Nisy,
9,10/02/1994,FC Viktoria Plzeň,FK Jablonec,1,0,Doosan Aréna,
9,10/02/1994,FC Boby Brno,AC Sparta Praha,3,1,Za Lužánkami,
9,10/02/1994,FC Svit Zlín,SK České Budějovice JČE,0,0,Letná,
9,10/02/1994,SK Hradec Králové,FC Bohemians Praha,1,1,Všesportovní stadion,
10,10/16/1994,FC Baník Ostrava,FC Bohemians Praha,0,0,Bazaly,
10,10/16/1994,SK České Budějovice JČE,SK Hradec Králové,4,0,Střelecký ostrov,
10,10/16/1994,AC Sparta Praha,FC Svit Zlín,3,0,Generali Česká pojišťovna Arena,
10,10/16/1994,FK Jablonec,FC Boby Brno,1,0,Střelnice,
10,10/16/1994,FC Petra Drnovice,FC Viktoria Plzeň,1,0,Sportovní areál Drnovice,
10,10/16/1994,FK ŠVARC Benešov,FC Slovan WSK Liberec,0,5,Městský stadion Benešov,
10,10/16/1994,SK Sigma Olomouc MŽ,SK Slavia Praha,1,1,Andrův stadión,
10,10/16/1994,FK Viktoria Žižkov,SKP Union Cheb,3,2,Stadion Viktoria Žižkov,
11,10/23/1994,SKP Union Cheb,FC Baník Ostrava,3,0,Stadion Lokomotiva,
11,10/23/1994,SK Slavia Praha,FK Viktoria Žižkov,3,2,Sinobo Stadium,
11,10/23/1994,FC Slovan WSK Liberec,SK Sigma Olomouc MŽ,2,1,Stadión U Nisy,
11,10/23/1994,FC Viktoria Plzeň,FK ŠVARC Benešov,2,1,Doosan Aréna,
11,10/23/1994,FC Boby Brno,FC Petra Drnovice,3,1,Za Lužánkami,
11,10/23/1994,FC Svit Zlín,FK Jablonec,2,1,Letná,
11,10/23/1994,SK Hradec Králové,AC Sparta Praha,2,1,Všesportovní stadion,
11,10/23/1994,FC Bohemians Praha,SK České Budějovice JČE,0,0,Ďolíček,
12,10/30/1994,FC Baník Ostrava,SK České Budějovice JČE,2,1,Bazaly,
12,10/30/1994,AC Sparta Praha,FC Bohemians Praha,3,1,Generali Česká pojišťovna Arena,
12,10/30/1994,FK Jablonec,SK Hradec Králové,3,0,Střelnice,
12,10/30/1994,FC Petra Drnovice,FC Svit Zlín,0,1,Sportovní areál Drnovice,
12,10/30/1994,FK ŠVARC Benešov,FC Boby Brno,1,1,Městský stadion Benešov,
12,10/30/1994,SK Sigma Olomouc MŽ,FC Viktoria Plzeň,3,0,Andrův stadión,
12,10/30/1994,FK Viktoria Žižkov,FC Slovan WSK Liberec,1,0,Stadion Viktoria Žižkov,
12,10/30/1994,SKP Union Cheb,SK Slavia Praha,0,0,Stadion Lokomotiva,
13,11/06/1994,SK Slavia Praha,FC Baník Ostrava,2,0,Sinobo Stadium,
13,11/06/1994,FC Slovan WSK Liberec,SKP Union Cheb,2,0,Stadión U Nisy,
13,11/06/1994,FC Viktoria Plzeň,FK Viktoria Žižkov,3,2,Doosan Aréna,
13,11/06/1994,FC Boby Brno,SK Sigma Olomouc MŽ,2,0,Za Lužánkami,
13,11/06/1994,FC Svit Zlín,FK ŠVARC Benešov,3,1,Letná,
13,11/06/1994,SK Hradec Králové,FC Petra Drnovice,0,0,Všesportovní stadion,
13,11/06/1994,FC Bohemians Praha,FK Jablonec,0,3,Ďolíček,
13,11/06/1994,SK České Budějovice JČE,AC Sparta Praha,1,0,Střelecký ostrov,
14,11/20/1994,FC Baník Ostrava,AC Sparta Praha,0,1,Bazaly,
14,11/20/1994,FK Jablonec,SK České Budějovice JČE,1,0,Střelnice,
14,11/20/1994,FC Petra Drnovice,FC Bohemians Praha,1,0,Sportovní areál Drnovice,
14,11/20/1994,FK ŠVARC Benešov,SK Hradec Králové,0,1,Městský stadion Benešov,
14,11/20/1994,SK Sigma Olomouc MŽ,FC Svit Zlín,2,1,Andrův stadión,
14,11/20/1994,FK Viktoria Žižkov,FC Boby Brno,0,0,Stadion Viktoria Žižkov,
14,11/20/1994,SKP Union Cheb,FC Viktoria Plzeň,1,0,Stadion Lokomotiva,
14,11/20/1994,SK Slavia Praha,FC Slovan WSK Liberec,5,0,Sinobo Stadium,
15,11/27/1994,FC Slovan WSK Liberec,FC Baník Ostrava,2,1,Stadión U Nisy,
15,11/27/1994,FC Viktoria Plzeň,SK Slavia Praha,1,1,Doosan Aréna,
15,11/27/1994,FC Boby Brno,SKP Union Cheb,6,0,Za Lužánkami,
15,11/27/1994,FC Svit Zlín,FK Viktoria Žižkov,0,5,Letná,
15,11/27/1994,SK Hradec Králové,SK Sigma Olomouc MŽ,2,0,Všesportovní stadion,
15,11/27/1994,FC Bohemians Praha,FK ŠVARC Benešov,5,2,Ďolíček,
15,11/27/1994,SK České Budějovice JČE,FC Petra Drnovice,2,0,Střelecký ostrov,
15,11/27/1994,AC Sparta Praha,FK Jablonec,3,0,Generali Česká pojišťovna Arena,
16,02/26/1995,FC Baník Ostrava,FK Jablonec,2,1,Bazaly,
16,02/26/1995,AC Sparta Praha,FC Petra Drnovice,4,0,Generali Česká pojišťovna Arena,
16,02/26/1995,SK České Budějovice JČE,FK ŠVARC Benešov,1,1,Střelecký ostrov,
16,02/26/1995,FC Bohemians Praha,SK Sigma Olomouc MŽ,0,1,Ďolíček,
16,02/26/1995,SK Hradec Králové,FK Viktoria Žižkov,2,1,Všesportovní stadion,
16,02/26/1995,FC Svit Zlín,SKP Union Cheb,3,2,Letná,
16,02/26/1995,FC Boby Brno,SK Slavia Praha,1,2,Za Lužánkami,
16,02/26/1995,FC Viktoria Plzeň,FC Slovan WSK Liberec,2,1,Doosan Aréna,
