round,date,home_team,away_team,home_score,away_score,stadium,stage
1,05/23/1995 18:00,Fram,Leiftur,0,4,Valbjarnarvöllur,
1,05/23/1995 20:00,Grindavík,Keflavík,1,2,Grindavíkurvöllur,
1,05/23/1995 20:00,KR,FH,0,1,KR-völlur,
1,05/23/1995 20:00,ÍBV,Valur,8,1,Hásteinsvöllur,
1,05/23/1995 20:00,ÍA,Breiðablik,2,0,Akranesvöllur,
2,05/27/1995 14:00,Fram,ÍBV,0,0,Valbjarnarvöllur,
2,05/27/1995 14:00,FH,Grindavík,2,0,Kaplakrikavöllur,
2,05/27/1995 14:00,Keflavík,ÍA,0,1,Keflavíkurvöllur,
2,05/27/1995 14:00,Leiftur,KR,1,2,Ólafsfjarðarvöllur,
2,05/27/1995 16:00,Breiðablik,Valur,2,1,Kópavogsvöllur,
3,06/05/1995 20:00,Grindavík,Leiftur,3,2,Grindavíkurvöllur,
3,06/05/1995 20:00,ÍA,FH,3,1,Akranesvöllur,
3,06/05/1995 20:00,KR,Fram,3,1,KR-völlur,
3,06/05/1995 20:00,ÍBV,Breiðablik,2,3,Hásteinsvöllur,
3,06/06/1995 20:00,Valur,Keflavík,0,0,Hlíðarendi,
4,06/14/1995 20:00,KR,Grindavík,2,1,KR-völlur,
4,06/14/1995 20:00,Leiftur,ÍA,0,2,Ólafsfjarðarvöllur,
4,06/14/1995 20:00,FH,Valur,2,3,Kaplakrikavöllur,
4,06/15/1995 20:00,Keflavík,ÍBV,1,0,Keflavíkurvöllur,
4,06/15/1995 20:00,Fram,Breiðablik,1,0,Laugardalsvöllur,
5,06/21/1995 20:00,Breiðablik,Keflavík,1,1,Kópavogsvöllur,
5,06/22/1995 20:00,ÍBV,FH,6,3,Hásteinsvöllur,
5,06/22/1995 20:00,ÍA,KR,2,0,Akranesvöllur,
5,06/22/1995 20:00,Grindavík,Fram,2,2,Grindavíkurvöllur,
5,06/22/1995 20:00,Valur,Leiftur,1,2,Hlíðarendi,
6,06/25/1995 20:00,Grindavík,ÍA,1,2,Grindavíkurvöllur,
6,06/25/1995 20:00,KR,Valur,1,0,KR-völlur,
6,06/25/1995 20:00,Leiftur,ÍBV,2,1,Ólafsfjarðarvöllur,
6,06/25/1995 20:00,FH,Breiðablik,2,4,Kaplakrikavöllur,
6,07/23/1995 20:00,Fram,Keflavík,2,4,Laugardalsvöllur,
7,07/05/1995 20:00,Keflavík,FH,2,0,Keflavíkurvöllur,
7,07/06/1995 20:00,Valur,Grindavík,0,3,Hlíðarendi,
7,07/06/1995 20:00,Breiðablik,Leiftur,1,2,Kópavogsvöllur,
7,07/06/1995 20:00,ÍA,Fram,3,0,Akranesvöllur,
7,07/06/1995 20:00,ÍBV,KR,1,0,Hásteinsvöllur,
8,07/16/1995 20:00,KR,Breiðablik,2,1,KR-völlur,
8,07/16/1995 20:00,ÍA,Valur,1,0,Akranesvöllur,
8,07/16/1995 20:00,Grindavík,ÍBV,1,0,Grindavíkurvöllur,
8,07/17/1995 20:00,Fram,FH,3,0,Laugardalsvöllur,
8,08/09/1995 19:00,Leiftur,Keflavík,2,2,Ólafsfjarðarvöllur,
9,07/20/1995 20:00,Valur,Fram,3,0,Hlíðarendi,
9,07/20/1995 20:00,Breiðablik,Grindavík,0,0,Kópavogsvöllur,
9,07/20/1995 20:00,Keflavík,KR,0,1,Keflavíkurvöllur,
9,07/20/1995 20:00,ÍBV,ÍA,1,3,Hásteinsvöllur,
9,07/20/1995 20:00,FH,Leiftur,2,2,Kaplakrikavöllur,
10,07/26/1995 20:00,FH,KR,2,2,Kaplakrikavöllur,
10,07/26/1995 20:00,Keflavík,Grindavík,1,0,Keflavíkurvöllur,
10,07/26/1995 20:00,Leiftur,Fram,3,1,Ólafsfjarðarvöllur,
10,07/26/1995 20:00,Breiðablik,ÍA,0,1,Kópavogsvöllur,
10,07/27/1995 20:00,Valur,ÍBV,1,3,Hlíðarendi,
11,08/03/1995 20:00,ÍA,Keflavík,8,2,Akranesvöllur,
11,08/03/1995 20:00,KR,Leiftur,2,0,KR-völlur,
11,08/03/1995 20:00,Valur,Breiðablik,0,3,Hlíðarendi,
11,08/03/1995 20:00,Grindavík,FH,2,1,Grindavíkurvöllur,
11,08/22/1995 20:00,ÍBV,Fram,2,1,Hásteinsvöllur,
12,08/12/1995 14:00,Fram,KR,1,4,Laugardalsvöllur,
12,08/12/1995 14:00,Keflavík,Valur,1,1,Keflavíkurvöllur,
12,08/12/1995 14:00,Breiðablik,ÍBV,0,1,Kópavogsvöllur,
12,08/12/1995 14:00,Leiftur,Grindavík,3,1,Ólafsfjarðarvöllur,
12,08/12/1995 16:00,FH,ÍA,2,3,Kaplakrikavöllur,
13,08/18/1995 14:00,Grindavík,KR,1,0,Grindavíkurvöllur,
13,08/18/1995 14:00,Breiðablik,Fram,1,2,Kópavogsvöllur,
13,08/19/1995 14:00,ÍBV,Keflavík,3,2,Hásteinsvöllur,
13,08/19/1995 14:00,ÍA,Leiftur,2,2,Akranesvöllur,
13,08/19/1995 16:00,Valur,FH,3,0,Hlíðarendi,
14,08/30/1995 18:30,FH,ÍBV,1,3,Kaplakrikavöllur,
14,08/30/1995 18:30,Leiftur,Valur,1,4,Ólafsfjarðarvöllur,
14,08/30/1995 18:30,Keflavík,Breiðablik,1,1,Keflavíkurvöllur,
14,08/31/1995 18:30,KR,ÍA,3,2,KR-völlur,
14,08/31/1995 20:30,Fram,Grindavík,0,2,Laugardalsvöllur,
15,09/02/1995 14:00,Breiðablik,FH,2,1,Kópavogsvöllur,
15,09/02/1995 14:00,ÍBV,Leiftur,4,0,Hásteinsvöllur,
15,03/09/1995 14:00,ÍA,Grindavík,4,0,Akranesvöllur,
15,09/04/1995 14:00,Keflavík,Fram,1,1,Keflavíkurvöllur,
15,09/04/1995 16:00,Valur,KR,2,1,Hlíðarendi,
16,09/08/1995 16:00,Fram,ÍA,1,2,Laugardalsvöllur,
16,09/09/1995 14:00,FH,Keflavík,2,2,Kaplakrikavöllur,
16,09/09/1995 14:00,KR,ÍBV,4,2,KR-völlur,
16,09/09/1995 14:00,Grindavík,Valur,1,2,Grindavíkurvöllur,
16,09/09/1995 16:00,Leiftur,Breiðablik,3,1,Ólafsfjarðarvöllur,
17,09/17/1995 14:00,Valur,ÍA,1,4,Hlíðarendi,
17,09/17/1995 14:00,Breiðablik,KR,1,3,Kópavogsvöllur,
17,09/17/1995 14:00,ÍBV,Grindavík,3,1,Hásteinsvöllur,
17,09/17/1995 14:00,FH,Fram,2,1,Kaplakrikavöllur,
17,09/17/1995 14:00,Keflavík,Leiftur,3,2,Keflavíkurvöllur,
18,09/23/1995 14:00,KR,Keflavík,3,3,KR-völlur,
18,09/23/1995 14:00,ÍA,ÍBV,5,1,Akranesvöllur,
18,09/23/1995 14:00,Leiftur,FH,1,2,Ólafsfjarðarvöllur,
18,09/23/1995 14:00,Grindavík,Breiðablik,6,3,Grindavíkurvöllur,
18,09/23/1995 14:00,Fram,Valur,1,3,Laugardalsvöllur,
