round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/18/1996,Varteks,Hrv. dragovoljac,1,1,,
1,08/18/1996,Marsonia,Osijek,0,3,,
1,08/18/1996,Croatia,Šibenik,4,0,,
1,08/18/1996,Hajduk,Orijent,2,0,,
1,08/18/1996,Rijeka,Istra,2,0,,
1,08/18/1996,Mladost 127,Zagreb,0,0,,
1,08/18/1996,Cibalia,Inker,2,0,,
1,08/18/1996,Segesta,Zadarkomerc,2,2,,
2,08/25/1996,Varteks,Marsonia,0,0,,
2,08/25/1996,Osijek,Croatia,0,4,,
2,08/25/1996,Šibenik,Hajduk,0,2,,
2,08/25/1996,Orijent,Rijeka,2,2,,
2,08/25/1996,Istra,Mladost 127,2,2,,
2,08/25/1996,Zagreb,Cibalia,6,1,,
2,08/25/1996,Inker,Segesta,0,3,,
2,08/25/1996,Hrv. dragovoljac,Zadarkomerc,3,1,,
3,01/09/1996,Marsonia,Hrv. dragovoljac,1,2,,
3,01/09/1996,Croatia,Varteks,6,1,,
3,01/09/1996,Hajduk,Osijek,2,1,,
3,01/09/1996,Rijeka,Šibenik,0,0,,
3,01/09/1996,Mladost 127,Orijent,5,1,,
3,01/09/1996,Cibalia,Istra,3,2,,
3,01/09/1996,Segesta,Zagreb,1,1,,
3,01/09/1996,Zadarkomerc,Inker,3,1,,
4,08/09/1996,Marsonia,Croatia,0,6,,
4,08/09/1996,Varteks,Hajduk,1,2,,
4,08/09/1996,Osijek,Rijeka,4,0,,
4,08/09/1996,Šibenik,Mladost 127,2,0,,
4,08/09/1996,Orijent,Cibalia,2,1,,
4,08/09/1996,Istra,Segesta,0,0,,
4,08/09/1996,Zagreb,Zadarkomerc,1,0,,
4,08/09/1996,Hrv. dragovoljac,Inker,4,1,,
5,09/15/1996,Croatia,Hrv. dragovoljac,2,1,,
5,09/15/1996,Hajduk,Marsonia,7,0,,
5,09/15/1996,Rijeka,Varteks,1,0,,
5,09/15/1996,Mladost 127,Osijek,0,0,,
5,09/15/1996,Cibalia,Šibenik,2,1,,
5,09/15/1996,Segesta,Orijent,1,1,,
5,09/15/1996,Zadarkomerc,Istra,1,0,,
5,09/15/1996,Inker,Zagreb,1,2,,
6,09/22/1996,Croatia,Hajduk,2,1,,
6,09/22/1996,Marsonia,Rijeka,1,0,,
6,09/22/1996,Varteks,Mladost 127,1,0,,
6,09/22/1996,Osijek,Cibalia,1,2,,
6,09/22/1996,Šibenik,Segesta,0,0,,
6,09/22/1996,Orijent,Zadarkomerc,0,0,,
6,09/22/1996,Istra,Inker,1,0,,
6,09/22/1996,Hrv. dragovoljac,Zagreb,4,2,,
7,09/29/1996,Hajduk,Hrv. dragovoljac,0,0,,
7,09/29/1996,Rijeka,Croatia,1,2,,
