round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/18/2009,FC Nordsjælland,F.C. København,2,0,Right to Dream Park,
1,07/18/2009,FC Midtjylland,Esbjerg fB,0,0,MCH Arena,
1,07/19/2009,SønderjyskE,Randers FC,1,0,Sydbank Park,
1,07/19/2009,HB Køge,Silkeborg IF,1,1,SEAS-NVE Park,
1,07/19/2009,Brøndby IF,OB,2,2,Brøndby Stadion,
1,07/20/2009,AGF,AaB,1,0,Ceres Park,
2,07/25/2009,F.C. København,HB Køge,7,1,Parken,
2,07/25/2009,OB,SønderjyskE,3,1,Nature Energy Park,
2,07/26/2009,Silkeborg IF,FC Midtjylland,4,0,JYSK Park,
2,07/26/2009,Esbjerg fB,Brøndby IF,2,1,Blue Water Arena,
2,07/27/2009,Randers FC,AGF,2,3,Cepheus Park Randers,
2,08/19/2009,AaB,FC Nordsjælland,1,0,Aalborg Portland Park,
3,08/01/2009,F.C. København,Silkeborg IF,1,1,Parken,
3,08/01/2009,SønderjyskE,Esbjerg fB,1,1,Sydbank Park,
3,08/02/2009,HB Køge,AaB,0,5,SEAS-NVE Park,
3,08/02/2009,FC Nordsjælland,Randers FC,2,2,Right to Dream Park,
3,08/02/2009,Brøndby IF,FC Midtjylland,3,1,Brøndby Stadion,
3,08/03/2009,AGF,OB,2,2,Ceres Park,
4,08/08/2009,FC Nordsjælland,Silkeborg IF,3,0,Right to Dream Park,
4,08/09/2009,FC Midtjylland,Randers FC,4,1,MCH Arena,
4,08/09/2009,AGF,HB Køge,2,1,Ceres Park,
4,08/09/2009,Esbjerg fB,OB,1,2,Blue Water Arena,
4,08/09/2009,SønderjyskE,F.C. København,0,1,Sydbank Park,
4,08/09/2009,Brøndby IF,AaB,0,2,Brøndby Stadion,
5,08/15/2009,F.C. København,AGF,0,1,Parken,
5,08/15/2009,AaB,SønderjyskE,1,0,Aalborg Portland Park,
5,08/16/2009,Silkeborg IF,Esbjerg fB,2,3,JYSK Park,
5,08/16/2009,HB Køge,FC Nordsjælland,1,1,SEAS-NVE Park,
5,08/16/2009,Randers FC,Brøndby IF,1,3,Cepheus Park Randers,
5,08/17/2009,OB,FC Midtjylland,1,0,Nature Energy Park,
6,08/22/2009,FC Midtjylland,F.C. København,1,4,MCH Arena,
6,08/22/2009,AGF,Silkeborg IF,2,2,Ceres Park,
6,08/23/2009,Esbjerg fB,AaB,2,0,Blue Water Arena,
6,08/23/2009,SønderjyskE,FC Nordsjælland,1,0,Sydbank Park,
6,08/23/2009,Brøndby IF,HB Køge,6,1,Brøndby Stadion,
6,08/24/2009,OB,Randers FC,1,0,Nature Energy Park,
7,08/29/2009,FC Nordsjælland,AGF,0,2,Right to Dream Park,
7,08/30/2009,Randers FC,Esbjerg fB,0,1,Cepheus Park Randers,
7,08/30/2009,AaB,FC Midtjylland,1,0,Aalborg Portland Park,
7,08/30/2009,HB Køge,SønderjyskE,1,0,SEAS-NVE Park,
7,08/30/2009,F.C. København,Brøndby IF,1,1,Parken,
7,08/31/2009,Silkeborg IF,OB,3,1,JYSK Park,
8,09/12/2009,OB,F.C. København,1,1,Nature Energy Park,
8,09/12/2009,FC Midtjylland,FC Nordsjælland,0,2,MCH Arena,
8,09/13/2009,Silkeborg IF,SønderjyskE,1,1,JYSK Park,
8,09/13/2009,Esbjerg fB,HB Køge,3,2,Blue Water Arena,
8,09/13/2009,Brøndby IF,AGF,1,0,Brøndby Stadion,
8,09/14/2009,Randers FC,AaB,0,3,Cepheus Park Randers,
9,09/19/2009,AaB,Silkeborg IF,0,1,Aalborg Portland Park,
9,09/20/2009,HB Køge,OB,1,3,SEAS-NVE Park,
9,09/20/2009,FC Nordsjælland,Esbjerg fB,0,4,Right to Dream Park,
9,09/20/2009,SønderjyskE,Brøndby IF,2,4,Sydbank Park,
9,09/20/2009,F.C. København,Randers FC,3,0,Parken,
9,09/21/2009,AGF,FC Midtjylland,2,4,Ceres Park,
10,09/26/2009,OB,FC Nordsjælland,2,0,Nature Energy Park,
10,09/27/2009,FC Midtjylland,SønderjyskE,0,2,MCH Arena,
10,09/27/2009,Silkeborg IF,Brøndby IF,4,1,JYSK Park,
10,09/27/2009,Randers FC,HB Køge,1,1,Cepheus Park Randers,
10,09/27/2009,AaB,F.C. København,1,2,Aalborg Portland Park,
