round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/11/2014 18:30,ŠK Slovan Bratislava ,FK Železiarne Podbrezová,2,1,,
1,07/12/2014 17:30,FC VSS Košice,FK Dukla Banská Bystrica,1,2,,
1,07/12/2014 17:30,AS Trenčín,FC DAC 1904 Dunajská Streda,2,1,,
1,07/12/2014 18:30,MFK Ružomberok,MŠK Žilina,0,1,,
1,07/12/2014 19:30,FK Senica,Spartak Myjava,1,0,,
1,07/13/2014 17:30,FC Spartak Trnava,FC ViOn Zlaté Moravce - Vráble,3,0,,
2,07/19/2014 17:30,FK Železiarne Podbrezová,Spartak Myjava,1,2,,
2,07/19/2014 19:00,FK Dukla Banská Bystrica,FK Senica,2,2,,
2,07/19/2014 19:30,FC ViOn Zlaté Moravce - Vráble,MFK Ružomberok,1,1,,
2,07/20/2014 19:00,FC DAC 1904 Dunajská Streda,FC Spartak Trnava,0,0,,
2,07/20/2014 19:30,MŠK Žilina,FC VSS Košice,4,1,,
2,09/24/2014 17:30,ŠK Slovan Bratislava ,AS Trenčín,0,2,,
3,07/25/2014 19:30,FK Senica,MŠK Žilina,1,1,,
3,07/26/2014 18:30,MFK Ružomberok,FC DAC 1904 Dunajská Streda,1,1,,
3,07/26/2014 19:00,FK Dukla Banská Bystrica,Spartak Myjava,0,0,,
3,07/27/2014 17:30,AS Trenčín,FK Železiarne Podbrezová,2,0,,
3,07/27/2014 17:30,FC VSS Košice,FC ViOn Zlaté Moravce - Vráble,1,3,,
3,10/30/2014 14:00,FC Spartak Trnava,ŠK Slovan Bratislava ,4,0,,
4,08/01/2014 18:30,ŠK Slovan Bratislava ,MFK Ružomberok,2,1,,
4,08/02/2014 17:00,FK Železiarne Podbrezová,FK Dukla Banská Bystrica,3,0,,
4,08/02/2014 19:00,FC DAC 1904 Dunajská Streda,FC VSS Košice,3,1,,
4,08/02/2014 19:30,FC ViOn Zlaté Moravce - Vráble,FK Senica,0,0,,
4,08/03/2014 17:30,AS Trenčín,FC Spartak Trnava,2,0,,
4,08/03/2014 19:30,MŠK Žilina,Spartak Myjava,2,1,,
5,08/09/2014 19:00,FK Dukla Banská Bystrica,MŠK Žilina,0,0,,
5,08/09/2014 19:30,FC ViOn Zlaté Moravce - Vráble,Spartak Myjava,1,0,,
5,08/09/2014 19:30,FK Senica,FC DAC 1904 Dunajská Streda,2,1,,
5,08/10/2014 16:30,FC Spartak Trnava,FK Železiarne Podbrezová,0,1,,
5,08/10/2014 16:30,FC VSS Košice,ŠK Slovan Bratislava ,1,2,,
5,08/10/2014 19:00,MFK Ružomberok,AS Trenčín,1,1,,
6,08/15/2014 18:30,ŠK Slovan Bratislava ,FK Senica,4,1,,
6,08/15/2014 18:30,FC ViOn Zlaté Moravce - Vráble,FK Dukla Banská Bystrica,1,1,,
6,08/16/2014 16:00,FC DAC 1904 Dunajská Streda,Spartak Myjava,1,0,,
6,08/16/2014 16:30,FK Železiarne Podbrezová,MŠK Žilina,1,0,,
6,08/16/2014 17:00,FC Spartak Trnava,MFK Ružomberok,2,0,,
6,08/17/2014 19:00,AS Trenčín,FC VSS Košice,4,2,,
7,08/22/2014 18:30,FK Senica,AS Trenčín,1,1,,
7,08/23/2014 18:30,MFK Ružomberok,FK Železiarne Podbrezová,2,0,,
7,08/23/2014 19:00,FK Dukla Banská Bystrica,FC DAC 1904 Dunajská Streda,0,0,,
7,08/23/2014 19:30,MŠK Žilina,FC ViOn Zlaté Moravce - Vráble,4,0,,
7,08/23/2014 19:30,Spartak Myjava,ŠK Slovan Bratislava ,2,1,,
7,08/24/2014 16:00,FC VSS Košice,FC Spartak Trnava,2,0,,
8,08/29/2014 18:30,FC DAC 1904 Dunajská Streda,MŠK Žilina,2,2,,
8,08/30/2014 16:00,FK Železiarne Podbrezová,FC ViOn Zlaté Moravce - Vráble,0,0,,
8,08/30/2014 17:30,MFK Ružomberok,FC VSS Košice,1,1,,
8,08/30/2014 17:30,AS Trenčín,Spartak Myjava,2,0,,
8,08/31/2014 16:00,FC Spartak Trnava,FK Senica,2,2,,
8,08/31/2014 19:00,ŠK Slovan Bratislava ,FK Dukla Banská Bystrica,3,1,,
9,09/12/2014 18:30,Spartak Myjava,FC Spartak Trnava,2,0,,
9,09/13/2014 15:30,FC VSS Košice,FK Železiarne Podbrezová,3,0,,
9,09/13/2014 17:30,FK Senica,MFK Ružomberok,1,0,,
9,09/13/2014 17:30,FC ViOn Zlaté Moravce - Vráble,FC DAC 1904 Dunajská Streda,1,1,,
9,09/14/2014 19:00,MŠK Žilina,ŠK Slovan Bratislava ,3,0,,
9,09/30/2014 17:00,FK Dukla Banská Bystrica,AS Trenčín,1,3,,
10,09/16/2014 15:30,FC Spartak Trnava,FK Dukla Banská Bystrica,5,2,,
