round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/20/2018,Miedź Legnica,Pogoń Szczecin,1,0,,
1,07/20/2018,Jagiellonia Białystok,Lechia Gdańsk,0,1,,
1,07/21/2018,Śląsk Wrocław,Cracovia,3,1,,
1,07/21/2018,Wisła Kraków,Arka Gdynia,0,0,,
1,07/21/2018,Legia Warszawa,KGHM Zagłębie Lubin,1,3,,
1,07/22/2018,Górnik Zabrze,Korona Kielce,1,1,,
1,07/22/2018,Wisła Płock,Lech Poznań,1,2,,
1,07/23/2018,Zagłębie Sosnowiec,Piast Gliwice,1,2,,
2,07/27/2018,Lechia Gdańsk,Śląsk Wrocław,1,1,,
2,07/27/2018,Wisła Kraków,Miedź Legnica,2,1,,
2,07/28/2018,KGHM Zagłębie Lubin,Zagłębie Sosnowiec,2,1,,
2,07/28/2018,Korona Kielce,Legia Warszawa,1,2,,
2,07/29/2018,Górnik Zabrze,Wisła Płock,1,1,,
2,07/29/2018,Arka Gdynia,Jagiellonia Białystok,0,2,,
2,07/29/2018,Lech Poznań,Cracovia,2,0,,
2,07/30/2018,Pogoń Szczecin,Piast Gliwice,0,2,,
3,08/03/2018,Wisła Płock,Korona Kielce,1,2,,
3,08/03/2018,Zagłębie Sosnowiec,Pogoń Szczecin,3,0,,
3,08/04/2018,Piast Gliwice,KGHM Zagłębie Lubin,2,1,,
3,08/04/2018,Legia Warszawa,Lechia Gdańsk,0,0,,
3,08/05/2018,Śląsk Wrocław,Lech Poznań,0,1,,
3,08/05/2018,Jagiellonia Białystok,Wisła Kraków,1,0,,
3,08/05/2018,Miedź Legnica,Górnik Zabrze,1,3,,
3,08/06/2018,Cracovia,Arka Gdynia,0,0,,
4,08/10/2018,Lechia Gdańsk,Miedź Legnica,2,0,,
4,08/10/2018,Wisła Kraków,Wisła Płock,1,1,,
4,08/11/2018,Pogoń Szczecin,Cracovia,1,1,,
4,08/11/2018,Arka Gdynia,Górnik Zabrze,1,1,,
4,08/12/2018,Piast Gliwice,Legia Warszawa,1,3,,
4,08/12/2018,KGHM Zagłębie Lubin,Jagiellonia Białystok,0,2,,
4,08/12/2018,Lech Poznań,Zagłębie Sosnowiec,4,0,,
4,08/13/2018,Korona Kielce,Śląsk Wrocław,2,1,,
5,08/17/2018,Cracovia,KGHM Zagłębie Lubin,0,1,,
5,08/17/2018,Miedź Legnica,Korona Kielce,1,1,,
5,08/18/2018,Wisła Płock,Arka Gdynia,1,3,,
5,08/18/2018,Górnik Zabrze,Lechia Gdańsk,0,2,,
5,08/19/2018,Legia Warszawa,Zagłębie Sosnowiec,2,1,,
5,08/19/2018,Jagiellonia Białystok,Piast Gliwice,2,1,,
5,08/19/2018,Lech Poznań,Wisła Kraków,2,5,,
5,08/20/2018,Śląsk Wrocław,Pogoń Szczecin,0,0,,
6,08/24/2018,Piast Gliwice,Cracovia,3,1,,
6,08/24/2018,Korona Kielce,Arka Gdynia,2,1,,
6,08/25/2018,Pogoń Szczecin,Lechia Gdańsk,2,3,,
6,08/25/2018,Wisła Kraków,Górnik Zabrze,3,0,,
6,08/26/2018,Jagiellonia Białystok,Miedź Legnica,2,3,,
6,08/26/2018,Legia Warszawa,Wisła Płock,1,4,,
6,08/26/2018,KGHM Zagłębie Lubin,Lech Poznań,2,1,,
6,08/27/2018,Zagłębie Sosnowiec,Śląsk Wrocław,3,3,,
7,08/31/2018,Górnik Zabrze,Pogoń Szczecin,1,1,,
7,08/31/2018,Lechia Gdańsk,Korona Kielce,2,0,,
7,09/01/2018,Arka Gdynia,Zagłębie Sosnowiec,2,2,,
7,09/01/2018,Śląsk Wrocław,Wisła Kraków,0,1,,
7,09/01/2018,Lech Poznań,Piast Gliwice,1,1,,
7,09/02/2018,Miedź Legnica,KGHM Zagłębie Lubin,2,0,,
7,09/02/2018,Wisła Płock,Jagiellonia Białystok,1,1,,
