round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/26/2019 19:10,SV Guntamatic Ried,SK Austria Klagenfurt,1,3,josko ARENA,
1,07/26/2019 19:10,FC Blau Weiß Linz,KSV 1919,1,1,Stadion der Stadt Linz,
1,07/26/2019 19:10,FC Liefering,SKU Ertl Glas Amstetten,2,3,Red Bull Arena,
1,07/26/2019 19:10,Young Violets Austria Wien,SV Horn,1,5,Generali-Arena,
1,07/26/2019 19:10,SV Licht-Loidl Lafnitz,FC Juniors OÖ,0,0,Fußballarena Lafnitz,
1,07/26/2019 19:10,SK Vorwärts Steyr,FC Wacker Innsbruck,2,0,EK Kammerhofer Arena,
1,07/26/2019 19:10,FC Mohren Dornbirn 1913,SC Austria Lustenau,1,3,Stadion Birkenwiese,
1,07/28/2019 10:30,FAC Wien,Grazer AK 1902,2,0,FAC-Platz,
2,08/02/2019 19:10,SC Austria Lustenau,SV Guntamatic Ried,1,1,Planet Pure Stadion,
2,08/02/2019 19:10,KSV 1919,SV Licht-Loidl Lafnitz,1,2,Franz Fekete-Stadion,
2,08/02/2019 19:10,FC Juniors OÖ,SK Vorwärts Steyr,3,1,Raiffeisen Arena,
2,08/02/2019 19:10,SKU Ertl Glas Amstetten,Young Violets Austria Wien,3,2,Ertl Glas-Stadion,
2,08/02/2019 19:10,SV Horn,FAC Wien,2,2,Waldviertler Volksbank Arena,
2,08/02/2019 20:30,Grazer AK 1902,FC Blau Weiß Linz,2,0,Merkur Arena,
2,08/04/2019 10:30,FC Wacker Innsbruck,FC Mohren Dornbirn 1913,1,0,Tivoli Stadion Tirol,
2,08/04/2019 17:00,SK Austria Klagenfurt,FC Liefering,4,4,Karawankenblick-Stadion,
3,08/09/2019 19:10,FC Juniors OÖ,KSV 1919,1,0,Raiffeisen Arena,
3,08/09/2019 19:10,FAC Wien,FC Wacker Innsbruck,2,0,FAC-Platz,
3,08/09/2019 19:10,Young Violets Austria Wien,SC Austria Lustenau,0,2,Generali-Arena,
3,08/09/2019 19:10,SV Licht-Loidl Lafnitz,FC Liefering,2,0,Fußballarena Lafnitz,
3,08/09/2019 19:10,SK Vorwärts Steyr,FC Blau Weiß Linz,0,1,EK Kammerhofer Arena,
3,08/09/2019 19:10,Grazer AK 1902,SV Horn,0,0,Merkur Arena,
3,08/09/2019 19:10,FC Mohren Dornbirn 1913,SK Austria Klagenfurt,0,0,Stadion Birkenwiese,
3,08/11/2019 10:30,SV Guntamatic Ried,SKU Ertl Glas Amstetten,4,1,josko ARENA,
4,08/16/2019 19:10,FC Wacker Innsbruck,FC Juniors OÖ,2,1,Tivoli Stadion Tirol,
4,08/16/2019 19:10,KSV 1919,SK Austria Klagenfurt,1,2,Franz Fekete-Stadion,
4,08/16/2019 19:10,FC Blau Weiß Linz,Young Violets Austria Wien,4,3,Stadion der Stadt Linz,
4,08/16/2019 19:10,SKU Ertl Glas Amstetten,FC Mohren Dornbirn 1913,0,2,Ertl Glas-Stadion,
4,08/16/2019 19:10,FC Liefering,SV Horn,3,2,Red Bull Arena,
4,08/16/2019 19:10,SV Licht-Loidl Lafnitz,SV Guntamatic Ried,0,1,Fußballarena Lafnitz,
4,08/16/2019 19:10,SK Vorwärts Steyr,FAC Wien,1,0,EK Kammerhofer Arena,
4,08/18/2019 10:30,SC Austria Lustenau,Grazer AK 1902,0,2,Planet Pure Stadion,
5,08/23/2019 19:10,FC Wacker Innsbruck,SKU Ertl Glas Amstetten,2,1,Tivoli Stadion Tirol,
5,08/23/2019 19:10,SV Guntamatic Ried,Grazer AK 1902,1,2,josko ARENA,
5,08/23/2019 19:10,FC Juniors OÖ,SC Austria Lustenau,8,5,Raiffeisen Arena,
5,08/23/2019 19:10,FAC Wien,FC Liefering,0,0,FAC-Platz,
5,08/23/2019 19:10,Young Violets Austria Wien,SV Licht-Loidl Lafnitz,2,3,Generali-Arena,
5,08/23/2019 19:10,SV Horn,SK Vorwärts Steyr,1,4,Waldviertler Volksbank Arena,
5,08/24/2019 18:00,FC Mohren Dornbirn 1913,KSV 1919,6,1,Stadion Birkenwiese,
5,08/25/2019 10:30,SK Austria Klagenfurt,FC Blau Weiß Linz,3,1,Karawankenblick-Stadion,
6,08/30/2019 19:10,KSV 1919,SV Guntamatic Ried,2,3,Franz Fekete-Stadion,
6,08/30/2019 19:10,FC Blau Weiß Linz,FC Wacker Innsbruck,1,0,Stadion der Stadt Linz,
6,08/30/2019 19:10,SKU Ertl Glas Amstetten,SV Horn,2,4,Ertl Glas-Stadion,
6,08/30/2019 19:10,FC Liefering,Young Violets Austria Wien,2,1,Red Bull Arena,
6,08/30/2019 19:10,SV Licht-Loidl Lafnitz,SK Austria Klagenfurt,0,3,Fußballarena Lafnitz,
6,08/30/2019 19:10,Grazer AK 1902,FC Juniors OÖ,2,1,Merkur Arena,
6,08/31/2019 14:30,SK Vorwärts Steyr,FC Mohren Dornbirn 1913,3,2,EK Kammerhofer Arena,
6,09/01/2019 10:30,SC Austria Lustenau,FAC Wien,1,2,Planet Pure Stadion,
7,09/13/2019 18:30,SKU Ertl Glas Amstetten,SK Vorwärts Steyr,2,1,Ertl Glas-Stadion,
7,09/13/2019 19:10,SK Austria Klagenfurt,SC Austria Lustenau,3,3,Karawankenblick-Stadion,
7,09/13/2019 19:10,FAC Wien,SV Licht-Loidl Lafnitz,1,1,FAC-Platz,
7,09/13/2019 19:10,Young Violets Austria Wien,SV Guntamatic Ried,0,0,Generali-Arena,
7,09/13/2019 19:10,SV Horn,KSV 1919,5,1,Waldviertler Volksbank Arena,
7,09/14/2019 14:30,FC Wacker Innsbruck,Grazer AK 1902,2,0,Tivoli Stadion Tirol,
7,09/14/2019 16:00,FC Mohren Dornbirn 1913,FC Liefering,2,2,Stadion Birkenwiese,
7,09/15/2019 10:30,FC Juniors OÖ,FC Blau Weiß Linz,0,5,Raiffeisen Arena,
8,09/20/2019 19:10,SV Guntamatic Ried,FC Juniors OÖ,3,1,josko ARENA,
8,09/20/2019 19:10,SC Austria Lustenau,FC Blau Weiß Linz,2,1,Planet Pure Stadion,
8,09/20/2019 19:10,KSV 1919,SKU Ertl Glas Amstetten,1,1,Franz Fekete-Stadion,
8,09/20/2019 19:10,SV Licht-Loidl Lafnitz,SV Horn,2,3,Fußballarena Lafnitz,
8,09/20/2019 19:10,Grazer AK 1902,SK Austria Klagenfurt,1,2,Merkur Arena,
8,09/21/2019 14:30,FC Liefering,FC Wacker Innsbruck,2,2,Red Bull Arena,
8,09/21/2019 20:00,FAC Wien,FC Mohren Dornbirn 1913,0,3,FAC-Platz,
8,09/22/2019 10:30,SK Vorwärts Steyr,Young Violets Austria Wien,0,0,EK Kammerhofer Arena,
9,09/27/2019 19:10,KSV 1919,FC Liefering,0,2,Franz Fekete-Stadion,
9,09/27/2019 19:10,SKU Ertl Glas Amstetten,FC Juniors OÖ,1,2,Ertl Glas-Stadion,
9,09/27/2019 19:10,Young Violets Austria Wien,FAC Wien,4,1,Generali-Arena,
9,09/27/2019 19:10,SV Horn,SC Austria Lustenau,2,4,Waldviertler Volksbank Arena,
9,09/28/2019 14:30,FC Wacker Innsbruck,SV Licht-Loidl Lafnitz,0,3,Tivoli Stadion Tirol,
9,09/28/2019 14:30,FC Mohren Dornbirn 1913,Grazer AK 1902,3,1,Stadion Birkenwiese,
9,09/29/2019 10:30,FC Blau Weiß Linz,SV Guntamatic Ried,2,3,Stadion der Stadt Linz,
9,09/29/2019 10:30,SK Austria Klagenfurt,SK Vorwärts Steyr,1,1,Karawankenblick-Stadion,
10,10/04/2019 18:30,FC Juniors OÖ,SK Austria Klagenfurt,0,2,Raiffeisen Arena,
10,10/04/2019 19:10,FC Wacker Innsbruck,KSV 1919,1,2,Tivoli Stadion Tirol,
10,10/04/2019 19:10,SV Guntamatic Ried,SK Vorwärts Steyr,1,0,josko ARENA,
10,10/04/2019 19:10,FAC Wien,SKU Ertl Glas Amstetten,0,2,FAC-Platz,
10,10/04/2019 19:10,SV Horn,FC Blau Weiß Linz,2,4,Waldviertler Volksbank Arena,
10,10/05/2019 14:30,Grazer AK 1902,Young Violets Austria Wien,2,3,Merkur Arena,
10,10/05/2019 19:00,SV Licht-Loidl Lafnitz,FC Mohren Dornbirn 1913,1,1,Fußballarena Lafnitz,
10,10/06/2019 10:30,SC Austria Lustenau,FC Liefering,3,2,Planet Pure Stadion,
11,10/18/2019 19:10,FC Blau Weiß Linz,FAC Wien,2,3,Stadion der Stadt Linz,
11,10/18/2019 19:10,SK Austria Klagenfurt,SV Horn,2,0,Karawankenblick-Stadion,
11,10/18/2019 19:10,SKU Ertl Glas Amstetten,SV Licht-Loidl Lafnitz,1,1,Ertl Glas-Stadion,
11,10/18/2019 19:10,Young Violets Austria Wien,FC Wacker Innsbruck,1,2,Generali-Arena,
11,10/18/2019 19:10,SK Vorwärts Steyr,SC Austria Lustenau,3,1,EK Kammerhofer Arena,
11,10/19/2019 14:30,FC Liefering,SV Guntamatic Ried,0,1,Red Bull Arena,
11,10/19/2019 16:00,FC Mohren Dornbirn 1913,FC Juniors OÖ,2,2,Stadion Birkenwiese,
11,10/20/2019 10:30,KSV 1919,Grazer AK 1902,2,0,Franz Fekete-Stadion,
12,10/25/2019 19:10,FC Wacker Innsbruck,SV Guntamatic Ried,2,3,Tivoli Stadion Tirol,
12,10/25/2019 19:10,SC Austria Lustenau,KSV 1919,3,2,Planet Pure Stadion,
12,10/25/2019 19:10,SKU Ertl Glas Amstetten,FC Blau Weiß Linz,2,2,Ertl Glas-Stadion,
12,10/25/2019 19:10,SV Licht-Loidl Lafnitz,SK Vorwärts Steyr,1,1,Fußballarena Lafnitz,
12,10/25/2019 19:10,Grazer AK 1902,FC Liefering,1,1,Merkur Arena,
12,10/26/2019 14:30,FC Juniors OÖ,Young Violets Austria Wien,2,4,Raiffeisen Arena,
12,10/26/2019 17:00,SV Horn,FC Mohren Dornbirn 1913,1,1,Waldviertler Volksbank Arena,
12,10/27/2019 10:30,FAC Wien,SK Austria Klagenfurt,0,2,FAC-Platz,
13,11/01/2019 19:10,SV Guntamatic Ried,SV Horn,3,1,josko ARENA,
13,11/01/2019 19:10,KSV 1919,FAC Wien,2,1,Franz Fekete-Stadion,
13,11/01/2019 19:10,FC Blau Weiß Linz,SV Licht-Loidl Lafnitz,1,5,Stadion der Stadt Linz,
