round,date,home_team,away_team,home_score,away_score,stadium,stage
,04/03/2019 18:30,HJK,FC Inter,2,1,,Runkosarja
,04/03/2019 18:30,KuPS,RoPS,2,2,,Runkosarja
,04/06/2019 15:00,SJK,HIFK,1,0,,Runkosarja
,04/07/2019 14:00,RoPS,FC Honka,1,2,,Runkosarja
,04/07/2019 15:00,KPV,Ilves,0,2,,Runkosarja
,04/07/2019 17:00,FC Lahti,KuPS,3,3,,Runkosarja
,04/08/2019 18:30,HJK,IFK Mariehamn,2,1,,Runkosarja
,04/08/2019 18:30,VPS,FC Inter,1,2,,Runkosarja
,04/13/2019 15:00,FC Inter,SJK,1,2,,Runkosarja
,04/13/2019 15:00,KPV,RoPS,0,1,,Runkosarja
,04/13/2019 17:00,KuPS,HJK,0,0,,Runkosarja
,04/14/2019 16:00,Ilves,VPS,0,0,,Runkosarja
,04/15/2019 18:30,FC Honka,IFK Mariehamn,1,3,,Runkosarja
,04/15/2019 18:30,HIFK,FC Lahti,0,1,,Runkosarja
,04/18/2019 18:30,SJK,HJK,0,0,,Runkosarja
,04/19/2019 18:30,FC Lahti,FC Inter,1,1,,Runkosarja
,04/20/2019 16:00,KuPS,FC Honka,0,3,,Runkosarja
,04/20/2019 16:00,VPS,KPV,2,2,,Runkosarja
,04/20/2019 17:00,IFK Mariehamn,RoPS,2,0,,Runkosarja
,04/22/2019 18:30,SJK,Ilves,0,1,,Runkosarja
,04/23/2019 18:30,HJK,HIFK,1,1,,Runkosarja
,04/25/2019 18:30,FC Honka,FC Inter,3,2,,Runkosarja
,04/25/2019 18:30,KPV,IFK Mariehamn,0,4,,Runkosarja
,04/26/2019 18:30,Ilves,FC Lahti,1,0,,Runkosarja
,04/26/2019 18:30,RoPS,KuPS,0,1,,Runkosarja
,04/26/2019 18:30,VPS,SJK,1,1,,Runkosarja
,04/29/2019 18:30,FC Inter,HJK,4,1,,Runkosarja
,04/29/2019 18:30,HIFK,FC Honka,2,0,,Runkosarja
,04/30/2019 18:30,FC Lahti,VPS,1,1,,Runkosarja
,04/30/2019 19:00,SJK,KPV,1,0,,Runkosarja
,05/01/2019 18:30,IFK Mariehamn,KuPS,3,4,,Runkosarja
,05/03/2019 18:30,HJK,Ilves,0,0,,Runkosarja
,05/03/2019 18:30,RoPS,HIFK,1,0,,Runkosarja
,05/05/2019 18:30,FC Lahti,SJK,1,1,,Runkosarja
,05/05/2019 18:30,KuPS,KPV,3,1,,Runkosarja
,05/07/2019 18:30,FC Inter,RoPS,3,0,,Runkosarja
,05/07/2019 18:30,Ilves,FC Honka,1,1,,Runkosarja
,05/07/2019 18:30,VPS,HJK,1,1,,Runkosarja
,05/08/2019 18:30,HIFK,IFK Mariehamn,1,1,,Runkosarja
,05/11/2019 15:00,FC Honka,VPS,1,1,,Runkosarja
,05/11/2019 15:00,HJK,SJK,2,2,,Runkosarja
,05/11/2019 15:00,KPV,FC Lahti,0,0,,Runkosarja
,05/12/2019 18:30,HIFK,KuPS,1,1,,Runkosarja
,05/12/2019 18:30,IFK Mariehamn,FC Inter,1,2,,Runkosarja
,05/12/2019 18:30,RoPS,Ilves,0,1,,Runkosarja
,05/17/2019 18:30,FC Inter,KuPS,1,0,,Runkosarja
,05/18/2019 16:00,SJK,FC Honka,1,2,,Runkosarja
,05/20/2019 18:30,FC Lahti,HJK,3,0,,Runkosarja
,05/20/2019 18:30,Ilves,IFK Mariehamn,0,0,,Runkosarja
,05/20/2019 18:30,KPV,HIFK,1,1,,Runkosarja
,05/20/2019 18:30,VPS,RoPS,0,1,,Runkosarja
,05/24/2019 18:30,KuPS,Ilves,1,0,,Runkosarja
