round,date,home_team,away_team,home_score,away_score,stadium,stage
1,03/30/2019,IF Brommapojkarna,Västerås SK FK,1,2,Grimsta IP 1,
1,03/30/2019,Örgryte IS FF,Norrby IF,1,1,Ullevi,
1,03/30/2019,Trelleborgs FF,GAIS,2,2,"Vångavallen, Trelleborg A-plan",
1,03/30/2019,Mjällby AIF,Varbergs BoIS FC,0,1,Strandvallen A-plan,
1,03/31/2019,Östers IF,Dalkurd,0,0,Myresjöhus Arena 1,
1,03/31/2019,Syrianska FC,Degerfors IF,1,4,Södertälje Fotbollsarena,
1,04/01/2019,IK Brage,IK Frej Täby,2,0,Domnarvsvallen,
1,04/02/2019,Jönköpings Södra IF,Halmstad,0,1,Stadsparksvallen,
2,04/05/2019,GAIS,Östers IF,1,1,Bravida Arena,
2,04/06/2019,Degerfors IF,Jönköpings Södra IF,2,1,Behrn Arena,
2,04/06/2019,Halmstad,Örgryte IS FF,1,3,Örjans Vall,
2,04/07/2019,Varbergs BoIS FC,Trelleborgs FF,3,1,Påskbergsvallen A,
2,04/07/2019,Dalkurd,IF Brommapojkarna,0,4,Gavlevallen,
2,04/07/2019,IK Frej Täby,Syrianska FC,0,3,Vikingavallen/Täby IP 1,
2,04/08/2019,Norrby IF,Mjällby AIF,2,1,Borås Arena,
2,04/09/2019,Västerås SK FK,IK Brage,1,1,Solid Park Arena,
3,04/12/2019,Jönköpings Södra IF,Dalkurd,1,0,Stadsparksvallen,
3,04/13/2019,Mjällby AIF,Västerås SK FK,2,1,Strandvallen A-plan,
3,04/13/2019,IK Brage,Halmstad,2,0,Domnarvsvallen,
3,04/14/2019,IF Brommapojkarna,GAIS,1,2,Grimsta IP 1,
3,04/14/2019,Syrianska FC,Varbergs BoIS FC,1,5,Södertälje Fotbollsarena,
3,04/15/2019,Trelleborgs FF,Norrby IF,1,1,"Vångavallen, Trelleborg A-plan",
3,04/15/2019,Örgryte IS FF,IK Frej Täby,2,0,Ullevi,
3,04/16/2019,Östers IF,Degerfors IF,1,1,Myresjöhus Arena 1,
4,04/19/2019,GAIS,IK Brage,0,3,Bravida Arena,
4,04/20/2019,Degerfors IF,Örgryte IS FF,1,2,Behrn Arena,
4,04/21/2019,Norrby IF,Jönköpings Södra IF,1,7,Borås Arena,
4,04/21/2019,Dalkurd,Mjällby AIF,2,1,Gavlevallen,
