round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/13/2012 19:30,MŠK Žilina,Spartak Myjava,4,1,,
1,07/14/2012 17:30,AS Trenčín,FC Nitra,5,0,,
1,07/14/2012 19:30,MFK Ružomberok,FC ViOn Zlaté Moravce - Vráble,3,1,,
1,07/14/2012 19:30,ŠK Slovan Bratislava ,1. FC Tatran Prešov,2,1,,
1,07/14/2012 19:30,FC Spartak Trnava,FC VSS Košice,0,0,,
1,07/15/2012 19:30,FK Senica,FK Dukla Banská Bystrica,2,3,,
2,07/21/2012 17:00,Spartak Myjava,FC ViOn Zlaté Moravce - Vráble,2,2,,
2,07/21/2012 19:30,FK Dukla Banská Bystrica,AS Trenčín,2,0,,
2,07/21/2012 19:30,FC Nitra,MFK Ružomberok,1,1,,
2,07/22/2012 17:30,1. FC Tatran Prešov,FK Senica,2,0,,
2,07/22/2012 17:30,FC VSS Košice,ŠK Slovan Bratislava ,1,0,,
2,08/21/2012 17:30,MŠK Žilina,FC Spartak Trnava,1,1,,
3,07/28/2012 17:30,AS Trenčín,1. FC Tatran Prešov,2,1,,
3,07/28/2012 19:30,MFK Ružomberok,FK Dukla Banská Bystrica,1,0,,
3,07/28/2012 19:30,FC ViOn Zlaté Moravce - Vráble,FC Nitra,0,2,,
3,07/29/2012 19:30,FK Senica,FC VSS Košice,2,1,,
3,07/29/2012 19:30,ŠK Slovan Bratislava ,MŠK Žilina,1,1,,
3,07/29/2012 19:30,FC Spartak Trnava,Spartak Myjava,1,1,,
4,08/04/2012 16:30,Spartak Myjava,FC Nitra,0,2,,
4,08/04/2012 17:30,FC VSS Košice,AS Trenčín,3,0,,
4,08/04/2012 17:30,MŠK Žilina,FK Senica,2,0,,
4,08/04/2012 17:30,1. FC Tatran Prešov,MFK Ružomberok,2,0,,
4,08/04/2012 19:30,FK Dukla Banská Bystrica,FC ViOn Zlaté Moravce - Vráble,0,0,,
4,08/05/2012 19:00,FC Spartak Trnava,ŠK Slovan Bratislava ,0,1,,
5,08/11/2012 17:30,AS Trenčín,MŠK Žilina,0,2,,
5,08/11/2012 19:30,MFK Ružomberok,FC VSS Košice,3,1,,
5,08/11/2012 19:30,FC ViOn Zlaté Moravce - Vráble,1. FC Tatran Prešov,2,0,,
5,08/11/2012 19:30,ŠK Slovan Bratislava ,Spartak Myjava,2,1,,
5,08/11/2012 19:30,FC Nitra,FK Dukla Banská Bystrica,1,1,,
5,08/12/2012 17:30,FK Senica,FC Spartak Trnava,3,0,,
6,08/18/2012 16:00,Spartak Myjava,FK Dukla Banská Bystrica,0,1,,
6,08/18/2012 17:30,1. FC Tatran Prešov,FC Nitra,1,0,,
6,08/18/2012 17:30,MŠK Žilina,MFK Ružomberok,0,0,,
6,08/18/2012 17:30,FC VSS Košice,FC ViOn Zlaté Moravce - Vráble,2,1,,
6,08/18/2012 19:30,FC Spartak Trnava,AS Trenčín,0,3,,
6,08/19/2012 19:00,ŠK Slovan Bratislava ,FK Senica,1,0,,
7,08/24/2012 20:00,FK Senica,Spartak Myjava,0,1,,
7,08/25/2012 17:30,MFK Ružomberok,FC Spartak Trnava,2,2,,
7,08/25/2012 17:30,AS Trenčín,ŠK Slovan Bratislava ,2,2,,
7,08/25/2012 19:30,FC Nitra,FC VSS Košice,4,1,,
7,08/25/2012 19:30,FC ViOn Zlaté Moravce - Vráble,MŠK Žilina,1,0,,
7,08/25/2012 19:30,FK Dukla Banská Bystrica,1. FC Tatran Prešov,0,0,,
8,09/01/2012 15:37,Spartak Myjava,1. FC Tatran Prešov,2,0,,
8,09/01/2012 17:30,MŠK Žilina,FC Nitra,1,1,,
8,09/01/2012 17:30,FC VSS Košice,FK Dukla Banská Bystrica,1,0,,
8,09/01/2012 17:30,ŠK Slovan Bratislava ,MFK Ružomberok,2,1,,
8,09/01/2012 19:30,FK Senica,AS Trenčín,1,1,,
