round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/28/2017 18:00,FC Zbrojovka Brno,FC Baník Ostrava,1,3,Městský fotbalový stadión,
1,07/29/2017 17:00,FC Viktoria Plzeň,FK Dukla Praha,4,0,Doosan Aréna,
1,07/29/2017 17:00,1.FC Slovácko,FK Jablonec,1,1,Městský fotbalový stadion Miroslava Valenty,
1,07/29/2017 17:00,MFK Karviná,FC Vysočina Jihlava,2,0,Městský stadion Karviná,
1,07/29/2017 20:00,SK Slavia Praha,FK Teplice,1,0,Sinobo Stadium,
1,07/30/2017 17:00,FC Slovan Liberec,FC Fastav Zlín,1,0,Stadión U Nisy,
1,07/30/2017 17:00,FK Mladá Boleslav,SK Sigma Olomouc,1,2,Městský stadion Mladá Boleslav,
1,07/30/2017 19:00,AC Sparta Praha,Bohemians Praha 1905,1,1,Generali Česká pojišťovna Arena,
2,08/05/2017 17:00,FK Teplice,FK Dukla Praha,3,1,Na Stínadlech,
2,08/05/2017 17:00,FC Fastav Zlín,FC Zbrojovka Brno,2,1,Letná,
2,08/05/2017 17:00,Bohemians Praha 1905,MFK Karviná,2,1,Ďolíček,
2,08/05/2017 17:00,SK Sigma Olomouc,FC Slovan Liberec,2,1,Andrův stadión,
2,08/06/2017 16:00,FK Jablonec,FC Viktoria Plzeň,0,1,Střelnice,
2,08/06/2017 16:00,FC Vysočina Jihlava,1.FC Slovácko,0,0,Stadion v Jiráskově ulici,
2,08/06/2017 18:00,FC Baník Ostrava,SK Slavia Praha,0,0,Městský stadion Opava,
2,08/07/2017 17:00,FK Mladá Boleslav,AC Sparta Praha,0,1,Městský stadion Mladá Boleslav,
3,08/11/2017 18:00,SK Slavia Praha,FC Vysočina Jihlava,2,0,Sinobo Stadium,
3,08/12/2017 16:00,FC Zbrojovka Brno,Bohemians Praha 1905,0,0,Městský fotbalový stadión,
3,08/12/2017 16:00,1.FC Slovácko,FC Baník Ostrava,5,2,Městský fotbalový stadion Miroslava Valenty,
3,08/12/2017 16:00,FC Viktoria Plzeň,SK Sigma Olomouc,1,0,Doosan Aréna,
3,08/13/2017 16:00,FK Teplice,FK Jablonec,1,1,Na Stínadlech,
3,08/13/2017 17:00,MFK Karviná,FK Mladá Boleslav,1,1,Městský stadion Karviná,
3,08/13/2017 17:00,FK Dukla Praha,FC Fastav Zlín,1,0,Na Julisce,
3,08/13/2017 18:00,FC Slovan Liberec,AC Sparta Praha,1,1,Stadión U Nisy,
4,08/18/2017 20:15,AC Sparta Praha,1.FC Slovácko,1,0,Generali Česká pojišťovna Arena,
