round,date,home_team,away_team,home_score,away_score,stadium,stage
1,03/06/2020 19:30,Žalgiris,Panevėžys,4,0,Sportima,
1,03/07/2020 17:00,Sūduva,Banga,1,0,„Hikvision“ arena (maniežas),
1,03/08/2020 18:00,Riteriai,K. Žalgiris,0,3,Sportima,
2,05/30/2020 15:00,Žalgiris,Riteriai,0,1,LFF stadionas,
2,05/30/2020 17:00,Banga,Panevėžys,2,0,Gargždų m. stadionas,
2,06/01/2020 18:00,Sūduva,K. Žalgiris,1,0,„Hikvision“ arena,
3,06/06/2020 13:00,K. Žalgiris,Žalgiris,0,1,„Kauno Žalgirio“ FA stadionas,
3,06/06/2020 17:00,Panevėžys,Sūduva,1,3,„Aukštaitijos“ st.,
3,06/07/2020 17:00,Riteriai,Banga,0,1,LFF stadionas,
4,06/13/2020 13:00,K. Žalgiris,Panevėžys,2,0,„Kauno Žalgirio“ FA stadionas,
4,06/13/2020 17:00,Banga,Žalgiris,0,1,Gargždų m. stadionas,
4,06/14/2020 17:00,Riteriai,Sūduva,1,3,LFF stadionas,
5,06/19/2020 19:00,Riteriai,Panevėžys,1,1,LFF stadionas,
5,06/20/2020 17:00,Banga,K. Žalgiris,1,1,Gargždų m. stadionas,
5,06/20/2020 19:00,Sūduva,Žalgiris,1,1,„Hikvision“ arena,
6,06/24/2020 17:00,Sūduva,Panevėžys,3,0,„Hikvision“ arena,
6,06/24/2020 19:00,Žalgiris,K. Žalgiris,2,3,LFF stadionas,
6,06/24/2020 20:00,Banga,Riteriai,1,1,Gargždų m. stadionas,
7,06/28/2020 15:00,K. Žalgiris,Sūduva,0,1,„Kauno Žalgirio“ FA stadionas,
7,06/28/2020 17:00,Riteriai,Žalgiris,0,7,LFF stadionas,
7,06/28/2020 19:00,Panevėžys,Banga,2,1,„Aukštaitijos“ st.,
8,07/03/2020 18:00,Žalgiris,Banga,0,0,LFF stadionas,
8,07/03/2020 20:00,Panevėžys,K. Žalgiris,0,2,„Aukštaitijos“ st.,
8,07/04/2020 19:00,Sūduva,Riteriai,1,0,„Hikvision“ arena,
9,07/11/2020 15:00,K. Žalgiris,Banga,2,0,„Kauno Žalgirio“ FA stadionas,
9,07/11/2020 18:00,Panevėžys,Riteriai,2,1,„Aukštaitijos“ st.,
9,07/12/2020 17:00,Žalgiris,Sūduva,4,0,LFF stadionas,
10,07/18/2020 13:00,K. Žalgiris,Riteriai,2,1,„Kauno Žalgirio“ FA stadionas,
10,07/19/2020 17:00,Panevėžys,Žalgiris,1,2,„Aukštaitijos“ st.,
10,07/19/2020 19:00,Banga,Sūduva,0,2,Gargždų m. stadionas,
11,07/23/2020 18:00,K. Žalgiris,Panevėžys,3,2,„Kauno Žalgirio“ FA stadionas,
11,07/23/2020 19:00,Sūduva,Banga,0,0,„Hikvision“ arena,
11,07/23/2020 20:00,Žalgiris,Riteriai,1,0,LFF stadionas,
12,07/28/2020 18:00,K. Žalgiris,Banga,2,3,„Kauno Žalgirio“ FA stadionas,
12,07/28/2020 19:00,Panevėžys,Žalgiris,1,2,„Aukštaitijos“ st.,
12,07/28/2020 20:00,Riteriai,Sūduva,1,2,LFF stadionas,
13,08/01/2020 17:00,Banga,Riteriai,1,1,Gargždų m. stadionas,
13,08/02/2020 17:00,Sūduva,Panevėžys,1,0,„Hikvision“ arena,
13,08/02/2020 19:00,Žalgiris,K. Žalgiris,3,1,LFF stadionas,
14,08/07/2020 18:00,Žalgiris,Banga,1,0,LFF stadionas,
14,08/07/2020 20:00,K. Žalgiris,Sūduva,3,0,„Kauno Žalgirio“ FA stadionas,
14,08/08/2020 17:00,Panevėžys,Riteriai,1,1,„Aukštaitijos“ st.,
15,08/12/2020 19:00,Sūduva,Žalgiris,2,0,„Hikvision“ arena,
15,08/14/2020 19:00,Riteriai,K. Žalgiris,0,1,LFF stadionas,
15,08/16/2020 17:00,Banga,Panevėžys,3,3,Gargždų m. stadionas,
16,08/20/2020 18:00,Panevėžys,K. Žalgiris,0,1,„Aukštaitijos“ st.,
16,08/20/2020 20:00,Riteriai,Žalgiris,2,2,LFF stadionas,
17,09/27/2020 15:00,Banga,K. Žalgiris,1,2,Gargždų m. stadionas,
17,09/27/2020 17:00,Žalgiris,Panevėžys,3,2,LFF stadionas,
17,09/27/2020 19:00,Sūduva,Riteriai,7,1,„Hikvision“ arena,
18,10/02/2020 19:00,Riteriai,Banga,4,0,LFF stadionas,
18,10/03/2020 15:00,K. Žalgiris,Žalgiris,0,1,„Kauno Žalgirio“ FA stadionas,
18,10/03/2020 17:00,Panevėžys,Sūduva,1,1,„Aukštaitijos“ st.,
16,10/10/2020 17:00,Banga,Sūduva,1,2,Gargždų m. stadionas,
19,10/20/2020 18:00,Banga,Žalgiris,0,4,Gargždų m. stadionas,
19,10/20/2020 20:00,Sūduva,K. Žalgiris,1,1,„Hikvision“ arena,
19,10/28/2020 18:30,Riteriai,Panevėžys,1,1,LFF stadionas,
20,10/31/2020 17:00,Panevėžys,Banga,1,1,„Aukštaitijos“ st.,
20,10/31/2020 17:00,K. Žalgiris,Riteriai,1,0,Kauno NFA stadionas,
20,11/14/2020 15:00,Žalgiris,Sūduva,3,0,LFF stadionas,
