round,date,home_team,away_team,home_score,away_score,stadium,stage
1,04/05/2021,Haugesund,Tromsø,,,Haugesund stadion,
1,04/05/2021,Bodø/Glimt,Brann,,,Aspmyra stadion,
1,04/05/2021,Kristiansund,Lillestrøm,,,Kristiansund stadion,
1,04/05/2021,Rosenborg,Strømsgodset,,,Lerkendal stadion,
1,04/05/2021,Mjøndalen,Sandefjord Fotball,,,Consto Arena,
1,04/05/2021,Sarpsborg 08,Viking,,,Sarpsborg st KG,
1,04/05/2021,Vålerenga,Molde,,,Intility Arena,
2,04/10/2021,Strømsgodset,Bodø/Glimt,,,Marienlyst stadion,
2,04/10/2021,Odd,Vålerenga,,,Skagerak Arena,
2,04/11/2021,Sandefjord Fotball,Haugesund,,,Sandefjord Arena,
2,04/11/2021,Viking,Kristiansund,,,SR-Bank Arena,
2,04/11/2021,Lillestrøm,Stabæk,,,Åråsen stadion,
2,04/11/2021,Tromsø,Mjøndalen,,,Alfheim stadion,
2,04/11/2021,Molde,Sarpsborg 08,,,Aker stadion,
2,04/11/2021,Brann,Rosenborg,,,Brann stadion,
3,04/14/2021,Kristiansund,Sandefjord Fotball,,,Kristiansund stadion,
3,04/14/2021,Haugesund,Strømsgodset,,,Haugesund stadion,
3,04/14/2021,Bodø/Glimt,Molde,,,Aspmyra stadion,
3,04/14/2021,Mjøndalen,Lillestrøm,,,Consto Arena,
3,04/14/2021,Vålerenga,Viking,,,Intility Arena,
3,04/14/2021,Sarpsborg 08,Brann,,,Sarpsborg st KG,
3,04/14/2021,Stabæk,Tromsø,,,Nadderud stadion,
3,04/15/2021,Rosenborg,Odd,,,Lerkendal stadion,
4,04/17/2021,Lillestrøm,Tromsø,,,Åråsen stadion,
4,04/17/2021,Strømsgodset,Vålerenga,,,Marienlyst stadion,
4,04/18/2021,Viking,Stabæk,,,SR-Bank Arena,
4,04/18/2021,Sandefjord Fotball,Sarpsborg 08,,,Sandefjord Arena,
4,04/18/2021,Odd,Kristiansund,,,Skagerak Arena,
4,04/18/2021,Brann,Mjøndalen,,,Brann stadion,
4,04/18/2021,Molde,Haugesund,,,Aker stadion,
4,04/18/2021,Bodø/Glimt,Rosenborg,,,Aspmyra stadion,
5,04/24/2021,Sarpsborg 08,Lillestrøm,,,Sarpsborg st KG,
5,04/24/2021,Stabæk,Brann,,,Nadderud stadion,
5,04/25/2021,Tromsø,Sandefjord Fotball,,,Alfheim stadion,
5,04/25/2021,Kristiansund,Strømsgodset,,,Kristiansund stadion,
5,04/25/2021,Vålerenga,Bodø/Glimt,,,Intility Arena,
5,04/25/2021,Mjøndalen,Viking,,,Consto Arena,
5,04/25/2021,Haugesund,Odd,,,Haugesund stadion,
5,04/25/2021,Rosenborg,Molde,,,Lerkendal stadion,
6,05/01/2021,Strømsgodset,Mjøndalen,,,Marienlyst stadion,
6,05/01/2021,Rosenborg,Vålerenga,,,Lerkendal stadion,
6,05/02/2021,Sandefjord Fotball,Lillestrøm,,,Sandefjord Arena,
6,05/02/2021,Bodø/Glimt,Haugesund,,,Aspmyra stadion,
6,05/02/2021,Odd,Sarpsborg 08,,,Skagerak Arena,
6,05/02/2021,Viking,Tromsø,,,SR-Bank Arena,
6,05/02/2021,Molde,Stabæk,,,Aker stadion,
6,05/02/2021,Brann,Kristiansund,,,Brann stadion,
7,05/08/2021,Mjøndalen,Bodø/Glimt,,,Consto Arena,
7,05/08/2021,Haugesund,Rosenborg,,,Haugesund stadion,
7,05/09/2021,Lillestrøm,Strømsgodset,,,Åråsen stadion,
7,05/09/2021,Sandefjord Fotball,Viking,,,Sandefjord Arena,
7,05/09/2021,Stabæk,Kristiansund,,,Nadderud stadion,
7,05/09/2021,Sarpsborg 08,Vålerenga,,,Sarpsborg st KG,
7,05/09/2021,Tromsø,Odd,,,Alfheim stadion,
7,05/09/2021,Molde,Brann,,,Aker stadion,
8,05/16/2021,Viking,Lillestrøm,,,SR-Bank Arena,
8,05/16/2021,Odd,Sandefjord Fotball,,,Skagerak Arena,
8,05/16/2021,Rosenborg,Mjøndalen,,,Lerkendal stadion,
8,05/16/2021,Kristiansund,Molde,,,Kristiansund stadion,
8,05/16/2021,Brann,Haugesund,,,Brann stadion,
8,05/16/2021,Strømsgodset,Sarpsborg 08,,,Marienlyst stadion,
8,05/16/2021,Bodø/Glimt,Tromsø,,,Aspmyra stadion,
8,05/16/2021,Vålerenga,Stabæk,,,Intility Arena,
9,05/24/2021,Stabæk,Strømsgodset,,,Nadderud stadion,
9,05/24/2021,Sandefjord Fotball,Brann,,,Sandefjord Arena,
9,05/24/2021,Haugesund,Vålerenga,,,Haugesund stadion,
9,05/24/2021,Sarpsborg 08,Bodø/Glimt,,,Sarpsborg st KG,
9,05/24/2021,Mjøndalen,Odd,,,Consto Arena,
9,05/24/2021,Tromsø,Kristiansund,,,Alfheim stadion,
9,05/24/2021,Molde,Viking,,,Aker stadion,
9,05/24/2021,Lillestrøm,Rosenborg,,,Åråsen stadion,
10,05/29/2021,Odd,Viking,,,Skagerak Arena,
10,05/29/2021,Brann,Tromsø,,,Brann stadion,
10,05/30/2021,Haugesund,Stabæk,,,Haugesund stadion,
10,05/30/2021,Bodø/Glimt,Sandefjord Fotball,,,Aspmyra stadion,
10,05/30/2021,Kristiansund,Mjøndalen,,,Kristiansund stadion,
10,05/30/2021,Rosenborg,Sarpsborg 08,,,Lerkendal stadion,
10,05/30/2021,Strømsgodset,Molde,,,Marienlyst stadion,
10,05/30/2021,Vålerenga,Lillestrøm,,,Intility Arena,
11,06/20/2021,Viking,Brann,,,SR-Bank Arena,
11,06/20/2021,Kristiansund,Bodø/Glimt,,,Kristiansund stadion,
11,06/20/2021,Lillestrøm,Odd,,,Åråsen stadion,
11,06/20/2021,Mjøndalen,Molde,,,Consto Arena,
11,06/20/2021,Sandefjord Fotball,Strømsgodset,,,Sandefjord Arena,
11,06/20/2021,Sarpsborg 08,Haugesund,,,Sarpsborg st KG,
11,06/20/2021,Stabæk,Rosenborg,,,Nadderud stadion,
11,06/20/2021,Tromsø,Vålerenga,,,Alfheim stadion,
12,06/24/2021,Haugesund,Kristiansund,,,Haugesund stadion,
12,06/24/2021,Bodø/Glimt,Stabæk,,,Aspmyra stadion,
12,06/24/2021,Brann,Odd,,,Brann stadion,
12,06/24/2021,Strømsgodset,Tromsø,,,Marienlyst stadion,
12,06/24/2021,Sarpsborg 08,Mjøndalen,,,Sarpsborg st KG,
12,06/24/2021,Rosenborg,Viking,,,Lerkendal stadion,
12,06/24/2021,Molde,Lillestrøm,,,Aker stadion,
12,06/24/2021,Vålerenga,Sandefjord Fotball,,,Intility Arena,
13,06/30/2021,Viking,Strømsgodset,,,SR-Bank Arena,
13,06/30/2021,Stabæk,Sarpsborg 08,,,Nadderud stadion,
13,06/30/2021,Odd,Bodø/Glimt,,,Skagerak Arena,
13,06/30/2021,Tromsø,Molde,,,Alfheim stadion,
13,06/30/2021,Sandefjord Fotball,Rosenborg,,,Sandefjord Arena,
13,06/30/2021,Kristiansund,Vålerenga,,,Kristiansund stadion,
13,06/30/2021,Mjøndalen,Haugesund,,,Consto Arena,
13,06/30/2021,Lillestrøm,Brann,,,Åråsen stadion,
14,07/04/2021,Vålerenga,Mjøndalen,,,Intility Arena,
14,07/04/2021,Bodø/Glimt,Lillestrøm,,,Aspmyra stadion,
14,07/04/2021,Haugesund,Viking,,,Haugesund stadion,
14,07/04/2021,Molde,Odd,,,Aker stadion,
14,07/04/2021,Rosenborg,Kristiansund,,,Lerkendal stadion,
14,07/04/2021,Stabæk,Sandefjord Fotball,,,Nadderud stadion,
14,07/04/2021,Strømsgodset,Brann,,,Marienlyst stadion,
14,07/04/2021,Sarpsborg 08,Tromsø,,,Sarpsborg st KG,
15,07/10/2021,Kristiansund,Sarpsborg 08,,,Kristiansund stadion,
15,07/10/2021,Lillestrøm,Haugesund,,,Åråsen stadion,
